level1	level2	level3	Name	gene_family
RNA processing and modification	NA	NA	Oligoribonuclease (3'-5' exoribonuclease)	COG1949
RNA processing and modification	NA	NA	Poly(A) polymerase Pap1	COG5186
RNA processing and modification	NA	NA	PAB1-binding protein, interacts with poly(A)-binding protein	COG5180
RNA processing and modification	NA	NA	DNA/RNA endonuclease YhcR, contains UshA esterase domain	COG4085
RNA processing and modification	NA	NA	RNA 3'-terminal phosphate cyclase	COG0430
Chromatin structure and dynamics	NA	NA	Archaeal histone H3/H4	COG2036
Chromatin structure and dynamics	NA	NA	DNA-binding SWIB/MDM2 domain	COG5531
Energy production and conversion	NA	NA	Acetate kinase	COG0282
Energy production and conversion	NA	NA	Phosphotransacetylase (includes Pta, EutD and phosphobutyryltransferase)	COG0280
Energy production and conversion	NA	NA	Uncharacterized cyanobacterial protein with Ycf66_N domain	COG5770
Energy production and conversion	Photosystem I	NA	Photosystem I auxiliary component Ycf33, involved in cyclic electron transport	COG5715
Energy production and conversion	NA	NA	Cytochrome c, mono- and diheme variants	COG2010
Energy production and conversion	Pyruvate oxidation	NA	Pyruvate:ferredoxin oxidoreductase or related 2-oxoacid:ferredoxin oxidoreductase, delta subunit	COG1144
Energy production and conversion	FoF1-type ATP synthase	NA	FoF1-type ATP synthase, alpha subunit	COG0056
Energy production and conversion	NA	NA	Heme-binding membrane subunit of periplasmic DMSO/TMAO and protein-methionine-sulfoxide reductases	COG2717
Energy production and conversion	NA	NA	L-lactate utilization protein LutC, contains LUD domain	COG1556
Energy production and conversion; Posttranslational modification, protein turnover, chaperones	NA	NA	ABC-type transport system involved in cytochrome bd biosynthesis, ATPase and permease components	COG4988
Energy production and conversion; Inorganic ion transport and metabolism	NA	NA	Na+/H+ antiporter NhaB	COG3067
Energy production and conversion	NA	NA	Heme/copper-type cytochrome/quinol oxidase, subunit 2	COG1622
Energy production and conversion	Na+-translocating Fd:NADH oxidoreductase	NA	Na+-translocating ferredoxin:NAD+ oxidoreductase RNF, RnfA subunit	COG4657
Energy production and conversion	NA	NA	Ferredoxin	COG1141
Energy production and conversion	NA	NA	Phycobilisome linker protein ApcE	COG5693
Energy production and conversion	NA	NA	Fe-S-cluster-containing hydrogenase component 2	COG1142
Energy production and conversion	2Fe2S	NA	2Fe-2S ferredoxin	COG3411
Energy production and conversion	NA	NA	Hydrogenase-4 membrane subunit HyfE	COG4237
Energy production and conversion	NA	NA	NAD(P)H dehydrogenase cyanobacteria/chloroplast subunitQ	COG5696
Energy production and conversion; Posttranslational modification, protein turnover, chaperones	NA	NA	Formate dehydrogenase maturation protein FdhE	COG3058
Energy production and conversion	Pyrimidine degradation	NA	NADP-dependent 3-hydroxy acid dehydrogenase YdfG	COG4221
Energy production and conversion	NA	NA	Fumarate reductase subunit D	COG3080
Energy production and conversion	NA	NA	Cyanobacterial/chloroplast membrane protein Tic21, involved in chloroplast protein import, DUF3611 (PF12263) domain	COG5772
Energy production and conversion	Na+-translocating Fd:NADH oxidoreductase	NA	Na+-translocating ferredoxin:NAD+ oxidoreductase RNF, RnfG subunit	COG4659
Energy production and conversion	Photosystem I	NA	Photosystem I assembly protein Ycf3, contains TPR repeats	COG5713
Energy production and conversion	NA	NA	Omega-amidase YafV/Nit2, hydrolyzes alpha-ketoglutaramate	COG0388
Energy production and conversion	NADH dehydrogenase	NA	Formate hydrogenlyase subunit 6/NADH:ubiquinone oxidoreductase 23 kD subunit (chain I)	COG1143
Energy production and conversion; Inorganic ion transport and metabolism	NA	NA	Nitrate reductase beta subunit	COG1140
Energy production and conversion; Posttranslational modification, protein turnover, chaperones	NA	NA	Cytochrome c oxidase assembly protein Cox11	COG3175
Energy production and conversion	NA	NA	NAD(P)H-dependent FMN reductase	COG0431
Energy production and conversion	Gluconeogenesis	NA	Phosphoenolpyruvate carboxykinase, GTP-dependent	COG1274
Energy production and conversion	NA	NA	Cytochrome b subunit of formate dehydrogenase	COG2864
Energy production and conversion	NA	NA	Cytochrome b subunit of Ni2+-dependent hydrogenase	COG3658
