K00001	alcohol dehydrogenase [EC:1.1.1.1]	9	ko00010 & ko00620 & ko00071 & ko00350 & ko00830 & ko00625 & ko00626 & ko00980 & ko00982	Metabolism;Carbohydrate metabolism;Glycolysis / Gluconeogenesis & Metabolism;Carbohydrate metabolism;Pyruvate metabolism & Metabolism;Lipid metabolism;Fatty acid degradation & Metabolism;Amino acid metabolism;Tyrosine metabolism & Metabolism;Metabolism of cofactors and vitamins;Retinol metabolism & Metabolism;Xenobiotics biodegradation and metabolism;Chloroalkane and chloroalkene degradation & Metabolism;Xenobiotics biodegradation and metabolism;Naphthalene degradation & Metabolism;Xenobiotics biodegradation and metabolism;Metabolism of xenobiotics by cytochrome P450 & Metabolism;Xenobiotics biodegradation and metabolism;Drug metabolism - cytochrome P450
K00002	alcohol dehydrogenase (NADP+) [EC:1.1.1.2]	8	ko00010 & ko00040 & ko00053 & ko00620 & ko00561 & ko00930 & ko05208 & ko04147	Metabolism;Carbohydrate metabolism;Glycolysis / Gluconeogenesis & Metabolism;Carbohydrate metabolism;Pentose and glucuronate interconversions & Metabolism;Carbohydrate metabolism;Ascorbate and aldarate metabolism & Metabolism;Carbohydrate metabolism;Pyruvate metabolism & Metabolism;Lipid metabolism;Glycerolipid metabolism & Metabolism;Xenobiotics biodegradation and metabolism;Caprolactam degradation & Human Diseases;Cancer: overview;Chemical carcinogenesis - reactive oxygen species & BRITE;signaling and cellular processes;Exosome
K00003	homoserine dehydrogenase [EC:1.1.1.3]	3	ko00260 & ko00270 & ko00300	Metabolism;Amino acid metabolism;Glycine, serine and threonine metabolism & Metabolism;Amino acid metabolism;Cysteine and methionine metabolism & Metabolism;Amino acid metabolism;Lysine biosynthesis
K00004	(R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.4 1.1.1.- 1.1.1.303]	1	ko00650	Metabolism;Carbohydrate metabolism;Butanoate metabolism
K00005	glycerol dehydrogenase [EC:1.1.1.6]	2	ko00640 & ko00561	Metabolism;Carbohydrate metabolism;Propanoate metabolism & Metabolism;Lipid metabolism;Glycerolipid metabolism
K00006	glycerol-3-phosphate dehydrogenase (NAD+) [EC:1.1.1.8]	2	ko00564 & ko04011	Metabolism;Lipid metabolism;Glycerophospholipid metabolism & Environmental Information Processing;Signal transduction;MAPK signaling pathway - yeast
K00007	D-arabinitol 4-dehydrogenase [EC:1.1.1.11]	2	ko00040 & ko00051	Metabolism;Carbohydrate metabolism;Pentose and glucuronate interconversions & Metabolism;Carbohydrate metabolism;Fructose and mannose metabolism
K00008	L-iditol 2-dehydrogenase [EC:1.1.1.14]	2	ko00040 & ko00051	Metabolism;Carbohydrate metabolism;Pentose and glucuronate interconversions & Metabolism;Carbohydrate metabolism;Fructose and mannose metabolism
K00009	mannitol-1-phosphate 5-dehydrogenase [EC:1.1.1.17]	1	ko00051	Metabolism;Carbohydrate metabolism;Fructose and mannose metabolism
K00010	myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]	2	ko00562 & ko00521	Metabolism;Carbohydrate metabolism;Inositol phosphate metabolism & Metabolism;Biosynthesis of other secondary metabolites;Streptomycin biosynthesis
