Function_id	Function_name	Number_pathway	Pathway_ids	Pathway_names
K00844	hexokinase [EC:2.7.1.1]	7	ko00010 & ko00051 & ko00052 & ko00500 & ko00520 & ko00521 & ko00524	Metabolism;Carbohydrate metabolism;Glycolysis / Gluconeogenesis & Metabolism;Carbohydrate metabolism;Fructose and mannose metabolism & Metabolism;Carbohydrate metabolism;Galactose metabolism & Metabolism;Carbohydrate metabolism;Starch and sucrose metabolism & Metabolism;Carbohydrate metabolism;Amino sugar and nucleotide sugar metabolism & Metabolism;Biosynthesis of other secondary metabolites;Streptomycin biosynthesis & Metabolism;Biosynthesis of other secondary metabolites;Neomycin, kanamycin and gentamicin biosynthesis
K12407	glucokinase [EC:2.7.1.2]	6	ko00010 & ko00052 & ko00500 & ko00520 & ko00521 & ko00524	Metabolism;Carbohydrate metabolism;Glycolysis / Gluconeogenesis & Metabolism;Carbohydrate metabolism;Galactose metabolism & Metabolism;Carbohydrate metabolism;Starch and sucrose metabolism & Metabolism;Carbohydrate metabolism;Amino sugar and nucleotide sugar metabolism & Metabolism;Biosynthesis of other secondary metabolites;Streptomycin biosynthesis & Metabolism;Biosynthesis of other secondary metabolites;Neomycin, kanamycin and gentamicin biosynthesis
K00845	glucokinase [EC:2.7.1.2]	6	ko00010 & ko00052 & ko00500 & ko00520 & ko00521 & ko00524	Metabolism;Carbohydrate metabolism;Glycolysis / Gluconeogenesis & Metabolism;Carbohydrate metabolism;Galactose metabolism & Metabolism;Carbohydrate metabolism;Starch and sucrose metabolism & Metabolism;Carbohydrate metabolism;Amino sugar and nucleotide sugar metabolism & Metabolism;Biosynthesis of other secondary metabolites;Streptomycin biosynthesis & Metabolism;Biosynthesis of other secondary metabolites;Neomycin, kanamycin and gentamicin biosynthesis
K25026	glucokinase [EC:2.7.1.2]	6	ko00010 & ko00052 & ko00500 & ko00520 & ko00521 & ko00524	Metabolism;Carbohydrate metabolism;Glycolysis / Gluconeogenesis & Metabolism;Carbohydrate metabolism;Galactose metabolism & Metabolism;Carbohydrate metabolism;Starch and sucrose metabolism & Metabolism;Carbohydrate metabolism;Amino sugar and nucleotide sugar metabolism & Metabolism;Biosynthesis of other secondary metabolites;Streptomycin biosynthesis & Metabolism;Biosynthesis of other secondary metabolites;Neomycin, kanamycin and gentamicin biosynthesis
K01810	glucose-6-phosphate isomerase [EC:5.3.1.9]	4	ko00010 & ko00030 & ko00500 & ko00520	Metabolism;Carbohydrate metabolism;Glycolysis / Gluconeogenesis & Metabolism;Carbohydrate metabolism;Pentose phosphate pathway & Metabolism;Carbohydrate metabolism;Starch and sucrose metabolism & Metabolism;Carbohydrate metabolism;Amino sugar and nucleotide sugar metabolism
K06859	glucose-6-phosphate isomerase, archaeal [EC:5.3.1.9]	4	ko00010 & ko00030 & ko00500 & ko00520	Metabolism;Carbohydrate metabolism;Glycolysis / Gluconeogenesis & Metabolism;Carbohydrate metabolism;Pentose phosphate pathway & Metabolism;Carbohydrate metabolism;Starch and sucrose metabolism & Metabolism;Carbohydrate metabolism;Amino sugar and nucleotide sugar metabolism
K13810	transaldolase / glucose-6-phosphate isomerase [EC:2.2.1.2 5.3.1.9]	4	ko00010 & ko00030 & ko00500 & ko00520	Metabolism;Carbohydrate metabolism;Glycolysis / Gluconeogenesis & Metabolism;Carbohydrate metabolism;Pentose phosphate pathway & Metabolism;Carbohydrate metabolism;Starch and sucrose metabolism & Metabolism;Carbohydrate metabolism;Amino sugar and nucleotide sugar metabolism
K15916	glucose/mannose-6-phosphate isomerase [EC:5.3.1.9 5.3.1.8]	5	ko00010 & ko00030 & ko00051 & ko00500 & ko00520	Metabolism;Carbohydrate metabolism;Glycolysis / Gluconeogenesis & Metabolism;Carbohydrate metabolism;Pentose phosphate pathway & Metabolism;Carbohydrate metabolism;Fructose and mannose metabolism & Metabolism;Carbohydrate metabolism;Starch and sucrose metabolism & Metabolism;Carbohydrate metabolism;Amino sugar and nucleotide sugar metabolism
K24182	6-phosphofructokinase [EC:2.7.1.11]	4	ko00010 & ko00030 & ko00051 & ko00680	Metabolism;Carbohydrate metabolism;Glycolysis / Gluconeogenesis & Metabolism;Carbohydrate metabolism;Pentose phosphate pathway & Metabolism;Carbohydrate metabolism;Fructose and mannose metabolism & Metabolism;Energy metabolism;Methane metabolism
K00850	6-phosphofructokinase 1 [EC:2.7.1.11]	5	ko00010 & ko00030 & ko00051 & ko00052 & ko00680	Metabolism;Carbohydrate metabolism;Glycolysis / Gluconeogenesis & Metabolism;Carbohydrate metabolism;Pentose phosphate pathway & Metabolism;Carbohydrate metabolism;Fructose and mannose metabolism & Metabolism;Carbohydrate metabolism;Galactose metabolism & Metabolism;Energy metabolism;Methane metabolism
K16370	6-phosphofructokinase 2 [EC:2.7.1.11]	5	ko00010 & ko00030 & ko00051 & ko00052 & ko00680	Metabolism;Carbohydrate metabolism;Glycolysis / Gluconeogenesis & Metabolism;Carbohydrate metabolism;Pentose phosphate pathway & Metabolism;Carbohydrate metabolism;Fructose and mannose metabolism & Metabolism;Carbohydrate metabolism;Galactose metabolism & Metabolism;Energy metabolism;Methane metabolism
K21071	ATP-dependent phosphofructokinase / diphosphate-dependent phosphofructokinase [EC:2.7.1.11 2.7.1.90]	5	ko00010 & ko00030 & ko00051 & ko00052 & ko00680	Metabolism;Carbohydrate metabolism;Glycolysis / Gluconeogenesis & Metabolism;Carbohydrate metabolism;Pentose phosphate pathway & Metabolism;Carbohydrate metabolism;Fructose and mannose metabolism & Metabolism;Carbohydrate metabolism;Galactose metabolism & Metabolism;Energy metabolism;Methane metabolism
K00918	ADP-dependent phosphofructokinase/glucokinase [EC:2.7.1.146 2.7.1.147]	3	ko00010 & ko00030 & ko00680	Metabolism;Carbohydrate metabolism;Glycolysis / Gluconeogenesis & Metabolism;Carbohydrate metabolism;Pentose phosphate pathway & Metabolism;Energy metabolism;Methane metabolism
K00895	diphosphate-dependent phosphofructokinase [EC:2.7.1.90]	3	ko00010 & ko00030 & ko00051	Metabolism;Carbohydrate metabolism;Glycolysis / Gluconeogenesis & Metabolism;Carbohydrate metabolism;Pentose phosphate pathway & Metabolism;Carbohydrate metabolism;Fructose and mannose metabolism
K03841	fructose-1,6-bisphosphatase I [EC:3.1.3.11]	5	ko00010 & ko00030 & ko00051 & ko00710 & ko00680	Metabolism;Carbohydrate metabolism;Glycolysis / Gluconeogenesis & Metabolism;Carbohydrate metabolism;Pentose phosphate pathway & Metabolism;Carbohydrate metabolism;Fructose and mannose metabolism & Metabolism;Energy metabolism;Carbon fixation in photosynthetic organisms & Metabolism;Energy metabolism;Methane metabolism
K02446	fructose-1,6-bisphosphatase II [EC:3.1.3.11]	5	ko00010 & ko00030 & ko00051 & ko00710 & ko00680	Metabolism;Carbohydrate metabolism;Glycolysis / Gluconeogenesis & Metabolism;Carbohydrate metabolism;Pentose phosphate pathway & Metabolism;Carbohydrate metabolism;Fructose and mannose metabolism & Metabolism;Energy metabolism;Carbon fixation in photosynthetic organisms & Metabolism;Energy metabolism;Methane metabolism
K11532	fructose-1,6-bisphosphatase II / sedoheptulose-1,7-bisphosphatase [EC:3.1.3.11 3.1.3.37]	5	ko00010 & ko00030 & ko00051 & ko00710 & ko00680	Metabolism;Carbohydrate metabolism;Glycolysis / Gluconeogenesis & Metabolism;Carbohydrate metabolism;Pentose phosphate pathway & Metabolism;Carbohydrate metabolism;Fructose and mannose metabolism & Metabolism;Energy metabolism;Carbon fixation in photosynthetic organisms & Metabolism;Energy metabolism;Methane metabolism
