K00001	alcohol dehydrogenase [EC:1.1.1.1]	9	ko00010 & ko00620 & ko00071 & ko00350 & ko00830 & ko00625 & ko00626 & ko00980 & ko00982	Metabolism;Carbohydrate metabolism;Glycolysis / Gluconeogenesis & Metabolism;Carbohydrate metabolism;Pyruvate metabolism & Metabolism;Lipid metabolism;Fatty acid degradation & Metabolism;Amino acid metabolism;Tyrosine metabolism & Metabolism;Metabolism of cofactors and vitamins;Retinol metabolism & Metabolism;Xenobiotics biodegradation and metabolism;Chloroalkane and chloroalkene degradation & Metabolism;Xenobiotics biodegradation and metabolism;Naphthalene degradation & Metabolism;Xenobiotics biodegradation and metabolism;Metabolism of xenobiotics by cytochrome P450 & Metabolism;Xenobiotics biodegradation and metabolism;Drug metabolism - cytochrome P450
K00002	alcohol dehydrogenase (NADP+) [EC:1.1.1.2]	6	ko00010 & ko00040 & ko00053 & ko00620 & ko00561 & ko00930	Metabolism;Carbohydrate metabolism;Glycolysis / Gluconeogenesis & Metabolism;Carbohydrate metabolism;Pentose and glucuronate interconversions & Metabolism;Carbohydrate metabolism;Ascorbate and aldarate metabolism & Metabolism;Carbohydrate metabolism;Pyruvate metabolism & Metabolism;Lipid metabolism;Glycerolipid metabolism & Metabolism;Xenobiotics biodegradation and metabolism;Caprolactam degradation
K00003	homoserine dehydrogenase [EC:1.1.1.3]	3	ko00260 & ko00270 & ko00300	Metabolism;Amino acid metabolism;Glycine, serine and threonine metabolism & Metabolism;Amino acid metabolism;Cysteine and methionine metabolism & Metabolism;Amino acid metabolism;Lysine biosynthesis
K00004	(R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.4 1.1.1.- 1.1.1.303]	1	ko00650	Metabolism;Carbohydrate metabolism;Butanoate metabolism
K00005	glycerol dehydrogenase [EC:1.1.1.6]	2	ko00640 & ko00561	Metabolism;Carbohydrate metabolism;Propanoate metabolism & Metabolism;Lipid metabolism;Glycerolipid metabolism
K00006	glycerol-3-phosphate dehydrogenase (NAD+) [EC:1.1.1.8]	1	ko00564	Metabolism;Lipid metabolism;Glycerophospholipid metabolism
K00007	D-arabinitol 4-dehydrogenase [EC:1.1.1.11]	2	ko00040 & ko00051	Metabolism;Carbohydrate metabolism;Pentose and glucuronate interconversions & Metabolism;Carbohydrate metabolism;Fructose and mannose metabolism
K00008	L-iditol 2-dehydrogenase [EC:1.1.1.14]	2	ko00040 & ko00051	Metabolism;Carbohydrate metabolism;Pentose and glucuronate interconversions & Metabolism;Carbohydrate metabolism;Fructose and mannose metabolism
K00009	mannitol-1-phosphate 5-dehydrogenase [EC:1.1.1.17]	1	ko00051	Metabolism;Carbohydrate metabolism;Fructose and mannose metabolism
K00010	myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]	2	ko00562 & ko00521	Metabolism;Carbohydrate metabolism;Inositol phosphate metabolism & Metabolism;Biosynthesis of other secondary metabolites;Streptomycin biosynthesis
K00011	aldehyde reductase [EC:1.1.1.21]	5	ko00040 & ko00051 & ko00052 & ko00561 & ko00790	Metabolism;Carbohydrate metabolism;Pentose and glucuronate interconversions & Metabolism;Carbohydrate metabolism;Fructose and mannose metabolism & Metabolism;Carbohydrate metabolism;Galactose metabolism & Metabolism;Lipid metabolism;Glycerolipid metabolism & Metabolism;Metabolism of cofactors and vitamins;Folate biosynthesis
K00012	UDPglucose 6-dehydrogenase [EC:1.1.1.22]	4	ko00040 & ko00053 & ko00520 & ko00541	Metabolism;Carbohydrate metabolism;Pentose and glucuronate interconversions & Metabolism;Carbohydrate metabolism;Ascorbate and aldarate metabolism & Metabolism;Carbohydrate metabolism;Amino sugar and nucleotide sugar metabolism & Metabolism;Glycan biosynthesis and metabolism;O-Antigen nucleotide sugar biosynthesis
K00013	histidinol dehydrogenase [EC:1.1.1.23]	1	ko00340	Metabolism;Amino acid metabolism;Histidine metabolism
K00014	shikimate dehydrogenase [EC:1.1.1.25]	2	ko00400 & ko00999	Metabolism;Amino acid metabolism;Phenylalanine, tyrosine and tryptophan biosynthesis & Metabolism;Biosynthesis of other secondary metabolites;Biosynthesis of various plant secondary metabolites
K00015	glyoxylate reductase [EC:1.1.1.26]	1	ko00630	Metabolism;Carbohydrate metabolism;Glyoxylate and dicarboxylate metabolism
K00016	L-lactate dehydrogenase [EC:1.1.1.27]	4	ko00010 & ko00620 & ko00640 & ko00270	Metabolism;Carbohydrate metabolism;Glycolysis / Gluconeogenesis & Metabolism;Carbohydrate metabolism;Pyruvate metabolism & Metabolism;Carbohydrate metabolism;Propanoate metabolism & Metabolism;Amino acid metabolism;Cysteine and methionine metabolism
K00018	glycerate dehydrogenase [EC:1.1.1.29]	3	ko00630 & ko00680 & ko00260	Metabolism;Carbohydrate metabolism;Glyoxylate and dicarboxylate metabolism & Metabolism;Energy metabolism;Methane metabolism & Metabolism;Amino acid metabolism;Glycine, serine and threonine metabolism
K00019	3-hydroxybutyrate dehydrogenase [EC:1.1.1.30]	1	ko00650	Metabolism;Carbohydrate metabolism;Butanoate metabolism
K00020	3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]	1	ko00280	Metabolism;Amino acid metabolism;Valine, leucine and isoleucine degradation
K00021	hydroxymethylglutaryl-CoA reductase (NADPH) [EC:1.1.1.34]	1	ko00900	Metabolism;Metabolism of terpenoids and polyketides;Terpenoid backbone biosynthesis
K00022	3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35]	8	ko00650 & ko00062 & ko00071 & ko00280 & ko00310 & ko00380 & ko00907 & ko00930	Metabolism;Carbohydrate metabolism;Butanoate metabolism & Metabolism;Lipid metabolism;Fatty acid elongation & Metabolism;Lipid metabolism;Fatty acid degradation & Metabolism;Amino acid metabolism;Valine, leucine and isoleucine degradation & Metabolism;Amino acid metabolism;Lysine degradation & Metabolism;Amino acid metabolism;Tryptophan metabolism & Metabolism;Metabolism of terpenoids and polyketides;Pinene, camphor and geraniol degradation & Metabolism;Xenobiotics biodegradation and metabolism;Caprolactam degradation
K00023	acetoacetyl-CoA reductase [EC:1.1.1.36]	2	ko00630 & ko00650	Metabolism;Carbohydrate metabolism;Glyoxylate and dicarboxylate metabolism & Metabolism;Carbohydrate metabolism;Butanoate metabolism
K00024	malate dehydrogenase [EC:1.1.1.37]	7	ko00020 & ko00620 & ko00630 & ko00710 & ko00720 & ko00680 & ko00270	Metabolism;Carbohydrate metabolism;Citrate cycle (TCA cycle) & Metabolism;Carbohydrate metabolism;Pyruvate metabolism & Metabolism;Carbohydrate metabolism;Glyoxylate and dicarboxylate metabolism & Metabolism;Energy metabolism;Carbon fixation in photosynthetic organisms & Metabolism;Energy metabolism;Carbon fixation pathways in prokaryotes & Metabolism;Energy metabolism;Methane metabolism & Metabolism;Amino acid metabolism;Cysteine and methionine metabolism
K00025	malate dehydrogenase [EC:1.1.1.37]	5	ko00020 & ko00620 & ko00630 & ko00710 & ko00270	Metabolism;Carbohydrate metabolism;Citrate cycle (TCA cycle) & Metabolism;Carbohydrate metabolism;Pyruvate metabolism & Metabolism;Carbohydrate metabolism;Glyoxylate and dicarboxylate metabolism & Metabolism;Energy metabolism;Carbon fixation in photosynthetic organisms & Metabolism;Amino acid metabolism;Cysteine and methionine metabolism
K00026	malate dehydrogenase [EC:1.1.1.37]	5	ko00020 & ko00620 & ko00630 & ko00710 & ko00270	Metabolism;Carbohydrate metabolism;Citrate cycle (TCA cycle) & Metabolism;Carbohydrate metabolism;Pyruvate metabolism & Metabolism;Carbohydrate metabolism;Glyoxylate and dicarboxylate metabolism & Metabolism;Energy metabolism;Carbon fixation in photosynthetic organisms & Metabolism;Amino acid metabolism;Cysteine and methionine metabolism
K00027	malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38]	1	ko00620	Metabolism;Carbohydrate metabolism;Pyruvate metabolism
K00028	malate dehydrogenase (decarboxylating) [EC:1.1.1.39]	2	ko00620 & ko00710	Metabolism;Carbohydrate metabolism;Pyruvate metabolism & Metabolism;Energy metabolism;Carbon fixation in photosynthetic organisms
K00029	malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]	2	ko00620 & ko00710	Metabolism;Carbohydrate metabolism;Pyruvate metabolism & Metabolism;Energy metabolism;Carbon fixation in photosynthetic organisms
K00030	isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]	1	ko00020	Metabolism;Carbohydrate metabolism;Citrate cycle (TCA cycle)
K00031	isocitrate dehydrogenase [EC:1.1.1.42]	3	ko00020 & ko00720 & ko00480	Metabolism;Carbohydrate metabolism;Citrate cycle (TCA cycle) & Metabolism;Energy metabolism;Carbon fixation pathways in prokaryotes & Metabolism;Metabolism of other amino acids;Glutathione metabolism
K00032	phosphogluconate 2-dehydrogenase [EC:1.1.1.43]	2	ko00030 & ko00480	Metabolism;Carbohydrate metabolism;Pentose phosphate pathway & Metabolism;Metabolism of other amino acids;Glutathione metabolism
K00033	6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]	2	ko00030 & ko00480	Metabolism;Carbohydrate metabolism;Pentose phosphate pathway & Metabolism;Metabolism of other amino acids;Glutathione metabolism
K00034	glucose 1-dehydrogenase [EC:1.1.1.47]	1	ko00030	Metabolism;Carbohydrate metabolism;Pentose phosphate pathway
K00035	D-galactose 1-dehydrogenase [EC:1.1.1.48]	1	ko00052	Metabolism;Carbohydrate metabolism;Galactose metabolism
K00036	glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]	2	ko00030 & ko00480	Metabolism;Carbohydrate metabolism;Pentose phosphate pathway & Metabolism;Metabolism of other amino acids;Glutathione metabolism
K00038	3alpha(or 20beta)-hydroxysteroid dehydrogenase [EC:1.1.1.53]	1	ko00140	Metabolism;Lipid metabolism;Steroid hormone biosynthesis
K00039	ribitol 2-dehydrogenase [EC:1.1.1.56]	1	ko00040	Metabolism;Carbohydrate metabolism;Pentose and glucuronate interconversions
K00040	fructuronate reductase [EC:1.1.1.57]	1	ko00040	Metabolism;Carbohydrate metabolism;Pentose and glucuronate interconversions
K00041	tagaturonate reductase [EC:1.1.1.58]	1	ko00040	Metabolism;Carbohydrate metabolism;Pentose and glucuronate interconversions
K00042	2-hydroxy-3-oxopropionate reductase [EC:1.1.1.60]	1	ko00630	Metabolism;Carbohydrate metabolism;Glyoxylate and dicarboxylate metabolism
K00043	4-hydroxybutyrate dehydrogenase [EC:1.1.1.61]	1	ko00650	Metabolism;Carbohydrate metabolism;Butanoate metabolism
K00045	mannitol 2-dehydrogenase [EC:1.1.1.67]	1	ko00051	Metabolism;Carbohydrate metabolism;Fructose and mannose metabolism
K00046	gluconate 5-dehydrogenase [EC:1.1.1.69]	0		
K00048	lactaldehyde reductase [EC:1.1.1.77]	2	ko00630 & ko00640	Metabolism;Carbohydrate metabolism;Glyoxylate and dicarboxylate metabolism & Metabolism;Carbohydrate metabolism;Propanoate metabolism
K00049	glyoxylate/hydroxypyruvate reductase [EC:1.1.1.79 1.1.1.81]	3	ko00620 & ko00630 & ko00260	Metabolism;Carbohydrate metabolism;Pyruvate metabolism & Metabolism;Carbohydrate metabolism;Glyoxylate and dicarboxylate metabolism & Metabolism;Amino acid metabolism;Glycine, serine and threonine metabolism
K00050	hydroxypyruvate reductase [EC:1.1.1.81]	NA	NA	Removed Ortholog
K00051	malate dehydrogenase (NADP+) [EC:1.1.1.82]	2	ko00620 & ko00710	Metabolism;Carbohydrate metabolism;Pyruvate metabolism & Metabolism;Energy metabolism;Carbon fixation in photosynthetic organisms
K00052	3-isopropylmalate dehydrogenase [EC:1.1.1.85]	2	ko00660 & ko00290	Metabolism;Carbohydrate metabolism;C5-Branched dibasic acid metabolism & Metabolism;Amino acid metabolism;Valine, leucine and isoleucine biosynthesis
K00053	ketol-acid reductoisomerase [EC:1.1.1.86]	2	ko00290 & ko00770	Metabolism;Amino acid metabolism;Valine, leucine and isoleucine biosynthesis & Metabolism;Metabolism of cofactors and vitamins;Pantothenate and CoA biosynthesis
