#Level1	Level2	Level3	unknown	Pathway
Degradation/Utilization/Assimilation	Chlorinated Compound Degradation	unknow	1,2-dichloroethane degradation	12DICHLORETHDEG-PWY
Degradation/Utilization/Assimilation	Aromatic Compound Degradation	Chloroaromatic Compound Degradation	1,4-dichlorobenzene degradation	14DICHLORBENZDEG-PWY
Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	Carrier Biosynthesis	N10-formyl-tetrahydrofolate biosynthesis	1CMET2-PWY
Degradation/Utilization/Assimilation	Aromatic Compound Degradation	2-Aminobenzoate Degradation	anthranilate degradation III (anaerobic)	2AMINOBENZDEG-PWY
Degradation/Utilization/Assimilation	Aromatic Compound Degradation	unknow	orthanilate degradation	2ASDEG-PWY
Degradation/Utilization/Assimilation	Carboxylate Degradation	2-Oxobutanoate Degradation	2-oxobutanoate degradation II	2OXOBUTYRATECAT-PWY
Degradation/Utilization/Assimilation	Amine and Polyamine Degradation	Phenylethylamine Degradation	phenylethylamine degradation I	2PHENDEG-PWY
Degradation/Utilization/Assimilation	Aromatic Compound Degradation	unknow	4-hydroxyphenylacetate degradation	3-HYDROXYPHENYLACETATE-DEGRADATION-PWY
Degradation/Utilization/Assimilation	Aromatic Compound Degradation	unknow	4-hydroxymandelate degradation	4-HYDROXYMANDELATE-DEGRADATION-PWY
Degradation/Utilization/Assimilation	Amine and Polyamine Degradation	4-Aminobutanoate Degradation	superpathway of 4-aminobutanoate degradation	4AMINOBUTMETAB-PWY
Degradation/Utilization/Assimilation	Aromatic Compound Degradation	unknow	4-toluenecarboxylate degradation	4TOLCARBDEG-PWY
Degradation/Utilization/Assimilation	Secondary Metabolite Degradation	Terpenoid Degradation	1,8-cineole degradation	6-HYDROXYCINEOLE-DEGRADATION-PWY
Degradation/Utilization/Assimilation	Carboxylate Degradation	Superpathways	superpathway of acetate utilization and formation	ACETATEUTIL-PWY
Degradation/Utilization/Assimilation	Degradation/Utilization/Assimilation - Other	unknow	acetoacetate degradation (to acetyl CoA)	ACETOACETATE-DEG-PWY
Biosynthesis	Amino Acid Biosynthesis	Proteinogenic Amino Acid Biosynthesis	L-methionine salvage from L-homocysteine	ADENOSYLHOMOCYSCAT-PWY
Biosynthesis	Secondary Metabolite Biosynthesis	Siderophore and Metallophore Biosynthesis	aerobactin biosynthesis	AEROBACTINSYN-PWY
Degradation/Utilization/Assimilation	Amino Acid Degradation	Proteinogenic Amino Acid Degradation	L-alanine degradation II (to D-lactate)	ALACAT2-PWY
Degradation/Utilization/Assimilation	Amino Acid Degradation	Proteinogenic Amino Acid Degradation	L-alanine degradation I	ALADEG-PWY
Degradation/Utilization/Assimilation	Amino Acid Degradation	Proteinogenic Amino Acid Degradation	L-alanine degradation III	ALANINE-DEG3-PWY
Biosynthesis	Amino Acid Biosynthesis	Proteinogenic Amino Acid Biosynthesis	L-alanine biosynthesis II	ALANINE-SYN2-PWY
Biosynthesis	Amino Acid Biosynthesis	Proteinogenic Amino Acid Biosynthesis	L-alanine biosynthesis I	ALANINE-VALINESYN-PWY
Degradation/Utilization/Assimilation	Inorganic Nutrient Metabolism	Sulfur Compound Metabolism	two-component alkanesulfonate monooxygenase	ALKANEMONOX-PWY
Superpathways	Superpathways	unknow	superpathway of chorismate metabolism	ALL-CHORISMATE-PWY
Degradation/Utilization/Assimilation	Amine and Polyamine Degradation	Allantoin Degradation	superpathway of allantoin degradation in yeast	ALLANTOINDEG-PWY
Degradation/Utilization/Assimilation	Inorganic Nutrient Metabolism	Nitrogen Compound Metabolism	ammonia assimilation cycle III	AMMASSIM-PWY
Degradation/Utilization/Assimilation	Inorganic Nutrient Metabolism	Nitrogen Compound Metabolism	ammonia oxidation I (aerobic)	AMMOXID-PWY
Generation of Precursor Metabolites and Energy	Fermentation	Fermentation to Short-Chain Fatty Acids	homolactic fermentation	ANAEROFRUCAT-PWY
Generation of Precursor Metabolites and Energy	Glycolysis	unknow	glycolysis III (from glucose)	ANAGLYCOLYSIS-PWY
Degradation/Utilization/Assimilation	Amino Acid Degradation	Proteinogenic Amino Acid Degradation	L-phenylalanine degradation II (anaerobic)	ANAPHENOXI-PWY
Degradation/Utilization/Assimilation	Carbohydrate Degradation	Sugar Degradation	L-arabinose degradation I	ARABCAT-PWY
Degradation/Utilization/Assimilation	Amino Acid Degradation	Proteinogenic Amino Acid Degradation	L-arginine degradation VII (arginase 3 pathway)	ARG-GLU-PWY
Degradation/Utilization/Assimilation	Amino Acid Degradation	Proteinogenic Amino Acid Degradation	L-arginine degradation VI (arginase 2 pathway)	ARG-PRO-PWY
Biosynthesis	Amino Acid Biosynthesis	Proteinogenic Amino Acid Biosynthesis	L-arginine degradation I (arginase pathway)	ARGASEDEG-PWY
Degradation/Utilization/Assimilation	Amino Acid Degradation	Proteinogenic Amino Acid Degradation	L-arginine degradation IV (arginine decarboxylase/agmatine deiminase pathway)	ARGDEG-III-PWY
Degradation/Utilization/Assimilation	Amino Acid Degradation	Proteinogenic Amino Acid Degradation	L-arginine degradation VIII (arginine oxidase pathway)	ARGDEG-IV-PWY
Degradation/Utilization/Assimilation	Amino Acid Degradation	Proteinogenic Amino Acid Degradation	superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation	ARGDEG-PWY
Degradation/Utilization/Assimilation	Amino Acid Degradation	Proteinogenic Amino Acid Degradation	L-arginine degradation X (arginine monooxygenase pathway)	ARGDEG-V-PWY
Degradation/Utilization/Assimilation	Amino Acid Degradation	Proteinogenic Amino Acid Degradation	L-arginine degradation V (arginine deiminase pathway)	ARGDEGRAD-PWY
Biosynthesis	Amino Acid Biosynthesis	Other Amino Acid Biosynthesis	L-ornithine de novo  biosynthesis	ARGININE-SYN4-PWY
Biosynthesis	Amine and Polyamine Biosynthesis	unknow	spermine biosynthesis	ARGSPECAT-PWY
Biosynthesis	Amino Acid Biosynthesis	Proteinogenic Amino Acid Biosynthesis	L-arginine biosynthesis I (via L-ornithine)	ARGSYN-PWY
Biosynthesis	Amino Acid Biosynthesis	Proteinogenic Amino Acid Biosynthesis	L-arginine biosynthesis II (acetyl cycle)	ARGSYNBSUB-PWY
Biosynthesis	Aromatic Compound Biosynthesis	Chorismate Biosynthesis	chorismate biosynthesis I	ARO-PWY
Biosynthesis	Amino Acid Biosynthesis	Proteinogenic Amino Acid Biosynthesis	L-asparagine biosynthesis I	ASPARAGINE-BIOSYNTHESIS
Degradation/Utilization/Assimilation	Amino Acid Degradation	Proteinogenic Amino Acid Degradation	L-asparagine degradation I	ASPARAGINE-DEG1-PWY
Degradation/Utilization/Assimilation	Amino Acid Degradation	Proteinogenic Amino Acid Degradation	L-asparagine degradation III (mammalian)	ASPARAGINE-DEG1-PWY-1
Biosynthesis	Amino Acid Biosynthesis	Proteinogenic Amino Acid Biosynthesis	L-asparagine biosynthesis II	ASPARAGINESYN-PWY
Degradation/Utilization/Assimilation	Amino Acid Degradation	Proteinogenic Amino Acid Degradation	L-aspartate degradation I	ASPARTATE-DEG1-PWY
Biosynthesis	Amino Acid Biosynthesis	Proteinogenic Amino Acid Biosynthesis	L-aspartate biosynthesis	ASPARTATESYN-PWY
Biosynthesis	Amino Acid Biosynthesis	Superpathways	superpathway of L-aspartate and L-asparagine biosynthesis	ASPASN-PWY
Detoxification	Cyanide Detoxification	unknow	cyanide detoxification I	ASPSYNII-PWY
Degradation/Utilization/Assimilation	Amino Acid Degradation	Proteinogenic Amino Acid Degradation	L-arginine degradation II (AST pathway)	AST-PWY
Degradation/Utilization/Assimilation	Aromatic Compound Degradation	Superpathways	anaerobic aromatic compound degradation (Thauera aromatica)	BENZCOA-PWY
Degradation/Utilization/Assimilation	Amino Acid Degradation	Other Amino Acid Degradation	&beta,-alanine degradation I	BETA-ALA-DEGRADATION-I-PWY
Biosynthesis	Amine and Polyamine Biosynthesis	Betaine Biosynthesis	glycine betaine biosynthesis I (Gram-negative bacteria)	BETSYN-PWY
Degradation/Utilization/Assimilation	Carbohydrate Degradation	Sugar Degradation	lactose degradation III	BGALACT-PWY
Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	Enzyme Cofactor Biosynthesis	biotin biosynthesis I	BIOTIN-BIOSYNTHESIS-PWY
Biosynthesis	Amino Acid Biosynthesis	Superpathways	superpathway of branched amino acid biosynthesis	BRANCHED-CHAIN-AA-SYN-PWY
Biosynthesis	Amine and Polyamine Biosynthesis	Spermidine Biosynthesis	spermidine biosynthesis I	BSUBPOLYAMSYN-PWY
Biosynthesis	Carbohydrate Biosynthesis	Sugar Biosynthesis	Calvin-Benson-Bassham cycle	CALVIN-PWY
Biosynthesis	Secondary Metabolite Biosynthesis	Antibiotic Biosynthesis	camalexin biosynthesis	CAMALEXIN-SYN
Degradation/Utilization/Assimilation	Amine and Polyamine Degradation	unknown	L-carnitine degradation I	CARNMET-PWY
Biosynthesis	Secondary Metabolite Biosynthesis	Terpenoid Biosynthesis	superpathway of carotenoid biosynthesis	CAROTENOID-PWY
Degradation/Utilization/Assimilation	Aromatic Compound Degradation	Catechol Degradation	catechol degradation to &beta,-ketoadipate	CATECHOL-ORTHO-CLEAVAGE-PWY
Degradation/Utilization/Assimilation	Aromatic Compound Degradation	Benzoyl-CoA Degradation	benzoyl-CoA degradation II (anaerobic)	CENTBENZCOA-PWY
