sequence	metadata_NSTI	16S_rRNA_Count
Cluster_1	0.718821	1
Cluster_10	0.007553	1
Cluster_100	0.231635	1
Cluster_101	0.231635	1
Cluster_102	0.231635	1
Cluster_103	0.231635	1
Cluster_104	0.231635	1
Cluster_105	0.231635	1
Cluster_106	0.231635	1
Cluster_107	0.231635	1
Cluster_108	0.231635	1
Cluster_109	0.010428	1
Cluster_110	0.010423	1
Cluster_111	0.010464	1
Cluster_112	0.167852	1
Cluster_113	0.167852	1
Cluster_114	0.071024	1
Cluster_115	0.173226	1
Cluster_116	0.010467	1
Cluster_117	0.012886000000000002	2
Cluster_118	0.011408	2
Cluster_119	0.044799	4
Cluster_120	0.185341	1
Cluster_122	0.114087	1
Cluster_123	0.112156	1
Cluster_124	0.109824	1
Cluster_125	0.111979	1
Cluster_126	0.112194	1
Cluster_127	0.01345	1
Cluster_128	23.640881	10
Cluster_129	0.032033	1
Cluster_130	0.031868	1
Cluster_131	0.030344	4
Cluster_132	0.003012	2
Cluster_133	0.013056	4
Cluster_134	0.030315	4
Cluster_135	0.030332	4
Cluster_136	0.030305	4
Cluster_137	0.030994	1
Cluster_138	0.032560000000000006	1
Cluster_139	0.034905	1
Cluster_14	0.001498	5
Cluster_140	0.009282	2
Cluster_141	0.013547	2
Cluster_142	0.030687	2
Cluster_143	0.01215	1
Cluster_145	0.025297	1
Cluster_146	0.025409	1
Cluster_147	0.025293	1
Cluster_148	0.025377	1
Cluster_149	0.025361	1
Cluster_15	0.001498	5
Cluster_150	0.025367	1
Cluster_151	0.021998	1
Cluster_152	0.025199	1
Cluster_153	0.023795	1
Cluster_154	0.028444	1
Cluster_155	0.158551	2
Cluster_156	0.045607	2
Cluster_157	0.0044740000000000005	2
Cluster_16	0.023412	1
Cluster_17	0.021753	1
Cluster_18	0.04295	2
Cluster_19	0.005433	2
Cluster_2	0.043433	1
Cluster_20	0.023386	1
Cluster_21	0.10961300000000003	1
Cluster_22	0.111464	1
Cluster_23	0.001542	1
Cluster_24	0.001553	1
Cluster_25	0.004622	1
Cluster_26	0.003064	1
Cluster_27	0.001537	1
Cluster_28	0.003074	1
Cluster_29	0.001544	1
Cluster_3	0.027113	4
Cluster_30	0.001551	1
Cluster_31	0.001552	1
Cluster_32	0.04132	1
Cluster_33	0.003119	1
Cluster_34	0.006164	1
Cluster_35	0.006203	1
Cluster_36	0.003072	1
Cluster_37	0.006161	1
Cluster_38	0.006181	1
Cluster_39	0.003072	1
Cluster_4	0.022124	1
Cluster_40	0.009094	1
Cluster_41	0.003759	2
Cluster_42	0.010612	3
Cluster_43	0.001508	1
Cluster_44	0.001513	1
Cluster_45	0.003008	2
Cluster_46	0.004529	2
Cluster_47	0.291085	1
Cluster_48	0.001506	1
Cluster_49	0.003029	1
Cluster_5	0.209531	1
Cluster_50	0.001539	1
Cluster_51	0.00154	1
Cluster_52	0.001588	1
Cluster_53	0.003027	1
Cluster_54	0.006256	1
Cluster_55	0.236399	3
Cluster_56	0.218421	3
Cluster_57	0.466289	3
Cluster_59	0.034172	1
Cluster_6	0.7622180000000001	1
Cluster_60	0.038986	1
Cluster_61	0.004588	1
Cluster_62	0.004602	1
Cluster_63	0.129744	1
Cluster_64	0.006696	1
Cluster_65	0.006669	1
Cluster_66	0.006693999999999999	1
Cluster_67	0.006683	1
Cluster_68	0.006668	1
Cluster_69	0.006703	1
Cluster_7	0.009739	3
Cluster_70	0.14670899999999998	1
Cluster_72	0.015691	1
Cluster_73	0.043594	3
Cluster_75	0.021866	2
Cluster_76	0.006157999999999999	1
Cluster_77	0.023656	1
Cluster_78	0.00591	1
Cluster_79	0.006137	1
Cluster_8	0.033743	1
Cluster_80	0.006156	1
Cluster_81	0.006155	1
Cluster_82	0.006142	1
Cluster_83	0.019877	1
Cluster_85	0.006670000000000001	1
Cluster_86	0.028689	3
Cluster_87	0.030356	3
Cluster_88	0.028772	3
Cluster_89	0.027234	3
Cluster_9	0.033591	1
Cluster_90	0.027103	3
Cluster_91	0.030345	3
Cluster_92	0.030102	3
Cluster_93	0.023929	1
Cluster_95	0.007523	6
Cluster_96	0.007523999999999999	6
Cluster_97	0.01495	3
Cluster_98	0.01649	3
Cluster_99	0.231635	1
