#comment	seed_id	observation_name	observation_sum	100seq_sampleA1	100seq_sampleA2	100seq_sampleA3	100seq_sampleB1	100seq_sampleB2	100seq_sampleB3	100seq_sampleC1	100seq_sampleC2	100seq_sampleC3
na	2_212	Cluster_1	126	0	0	0	33	33	33	9	9	9
na	1_345	Cluster_2	15	4	4	4	1	1	1	0	0	0
na	1_33	Cluster_3	42	12	12	12	0	0	0	2	2	2
na	1_180	Cluster_4	75	25	25	25	0	0	0	0	0	0
na	2_370	Cluster_5	3	0	0	0	1	1	1	0	0	0
na	1_343	Cluster_6	3	1	1	1	0	0	0	0	0	0
na	2_413	Cluster_7	3	0	0	0	1	1	1	0	0	0
na	3_44	Cluster_8	3	0	0	0	0	0	0	1	1	1
na	3_808	Cluster_9	3	0	0	0	0	0	0	1	1	1
na	2_506	Cluster_10	3	0	0	0	1	1	1	0	0	0
na	2_594	Cluster_14	3	0	0	0	1	1	1	0	0	0
na	3_455	Cluster_15	3	0	0	0	0	0	0	1	1	1
na	3_142	Cluster_16	3	0	0	0	0	0	0	1	1	1
na	3_593	Cluster_17	30	0	0	0	0	0	0	10	10	10
na	3_195	Cluster_18	3	0	0	0	0	0	0	1	1	1
na	3_744	Cluster_19	3	0	0	0	0	0	0	1	1	1
na	3_324	Cluster_20	3	0	0	0	0	0	0	1	1	1
na	3_492	Cluster_21	9	2	2	2	0	0	0	1	1	1
na	1_744	Cluster_22	3	1	1	1	0	0	0	0	0	0
na	1_24	Cluster_23	3	1	1	1	0	0	0	0	0	0
na	2_725	Cluster_24	3	0	0	0	1	1	1	0	0	0
na	3_389	Cluster_25	3	0	0	0	0	0	0	1	1	1
na	2_273	Cluster_26	3	0	0	0	1	1	1	0	0	0
na	2_324	Cluster_27	12	0	0	0	4	4	4	0	0	0
na	2_125	Cluster_28	3	0	0	0	1	1	1	0	0	0
na	3_805	Cluster_29	3	0	0	0	0	0	0	1	1	1
na	2_248	Cluster_30	3	0	0	0	1	1	1	0	0	0
na	2_710	Cluster_31	3	0	0	0	1	1	1	0	0	0
na	2_808	Cluster_32	3	0	0	0	1	1	1	0	0	0
