pathway	100seq_sampleA1	100seq_sampleA2	100seq_sampleA3	100seq_sampleB1	100seq_sampleB2	100seq_sampleB3	100seq_sampleC1	100seq_sampleC2	100seq_sampleC3
1CMET2-PWY	59.3916	59.3916	59.3916	76.619	76.619	76.619	87.9009	87.9009	87.9009
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	5.724	5.724	5.724	1.6992	1.6992	1.6992	1.1391	1.1391	1.1391
AEROBACTINSYN-PWY	4.7191	4.7191	4.7191	0.7059	0.7059	0.7059	0.7792	0.7792	0.7792
ALL-CHORISMATE-PWY	22.7811	22.7811	22.7811	0.0	0.0	0.0	6.5965	6.5965	6.5965
ANAEROFRUCAT-PWY	33.447	33.447	33.447	72.7424	72.7424	72.7424	50.6596	50.6596	50.6596
ANAGLYCOLYSIS-PWY	62.6721	62.6721	62.6721	89.8531	89.8531	89.8531	84.1296	84.1296	84.1296
ARG+POLYAMINE-SYN	15.6795	15.6795	15.6795	17.9938	17.9938	17.9938	17.748	17.748	17.748
ARGDEG-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.73	0.73	0.73
ARGORNPROST-PWY	6.5603	6.5603	6.5603	4.8397	4.8397	4.8397	30.5975	30.5975	30.5975
ARGSYN-PWY	58.3589	58.3589	58.3589	78.2401	78.2401	78.2401	89.6532	89.6532	89.6532
ARGSYNBSUB-PWY	61.1851	61.1851	61.1851	81.1355	81.1355	81.1355	98.9288	98.9288	98.9288
ARO-PWY	76.5208	76.5208	76.5208	90.1494	90.1494	90.1494	89.8126	89.8126	89.8126
ASPASN-PWY	55.1239	55.1239	55.1239	28.0338	28.0338	28.0338	9.8754	9.8754	9.8754
AST-PWY	2.8225	2.8225	2.8225	3.6145	3.6145	3.6145	0.5065	0.5065	0.5065
BIOTIN-BIOSYNTHESIS-PWY	25.4888	25.4888	25.4888	16.4737	16.4737	16.4737	23.1024	23.1024	23.1024
BRANCHED-CHAIN-AA-SYN-PWY	89.476	89.476	89.476	99.877	99.877	99.877	118.0249	118.0249	118.0249
CALVIN-PWY	80.0896	80.0896	80.0896	79.8752	79.8752	79.8752	74.3919	74.3919	74.3919
CATECHOL-ORTHO-CLEAVAGE-PWY	6.3094	6.3094	6.3094	0.0	0.0	0.0	3.9925	3.9925	3.9925
CENTFERM-PWY	21.0351	21.0351	21.0351	10.7445	10.7445	10.7445	8.181	8.181	8.181
CHLOROPHYLL-SYN	2.7529	2.7529	2.7529	0.0	0.0	0.0	2.741	2.741	2.741
COA-PWY	75.3161	75.3161	75.3161	61.181	61.181	61.181	80.6627	80.6627	80.6627
COBALSYN-PWY	24.5546	24.5546	24.5546	10.6502	10.6502	10.6502	31.9419	31.9419	31.9419
CODH-PWY	0.9885	0.9885	0.9885	1.9662	1.9662	1.9662	0.9849	0.9849	0.9849
COLANSYN-PWY	11.8121	11.8121	11.8121	41.554	41.554	41.554	36.0288	36.0288	36.0288
COMPLETE-ARO-PWY	82.3311	82.3311	82.3311	95.9027	95.9027	95.9027	93.9999	93.9999	93.9999
DAPLYSINESYN-PWY	56.9101	56.9101	56.9101	85.508	85.508	85.508	86.6844	86.6844	86.6844
DENITRIFICATION-PWY	1.5556	1.5556	1.5556	1.3538	1.3538	1.3538	0.0	0.0	0.0
DENOVOPURINE2-PWY	54.7688	54.7688	54.7688	78.2451	78.2451	78.2451	85.6216	85.6216	85.6216
DHGLUCONATE-PYR-CAT-PWY	3.234	3.234	3.234	0.0	0.0	0.0	0.0	0.0	0.0
DTDPRHAMSYN-PWY	29.1189	29.1189	29.1189	92.6308	92.6308	92.6308	112.1654	112.1654	112.1654
ENTBACSYN-PWY	4.9594	4.9594	4.9594	0.0	0.0	0.0	33.698	33.698	33.698
FAO-PWY	33.6593	33.6593	33.6593	21.8004	21.8004	21.8004	40.5786	40.5786	40.5786
FASYN-ELONG-PWY	90.6885	90.6885	90.6885	49.5034	49.5034	49.5034	98.9071	98.9071	98.9071
FASYN-INITIAL-PWY	26.7816	26.7816	26.7816	15.0634	15.0634	15.0634	72.8645	72.8645	72.8645
FERMENTATION-PWY	23.1852	23.1852	23.1852	64.0392	64.0392	64.0392	50.0652	50.0652	50.0652
FOLSYN-PWY	81.5677	81.5677	81.5677	66.9711	66.9711	66.9711	75.9789	75.9789	75.9789
FUC-RHAMCAT-PWY	1.5083	1.5083	1.5083	0.0	0.0	0.0	0.0	0.0	0.0
FUCCAT-PWY	2.1687	2.1687	2.1687	1.7402	1.7402	1.7402	2.3319	2.3319	2.3319
GALACT-GLUCUROCAT-PWY	4.3703	4.3703	4.3703	4.1514	4.1514	4.1514	6.4249	6.4249	6.4249
