#id	sampleA_R1	sampleB_R1
ERR619083.M00704:57:000000000-A5HJE:1:1102:9121:16567.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2110:12174:1894.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2108:15818:17884.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2113:8008:13804.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2107:4627:12894.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2104:14238:26713.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2102:14403:25281.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2106:24512:6384.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2108:25039:11535.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2111:14750:18433.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2108:12153:20480.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:1101:15309:8942.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2103:16819:13348.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2113:16471:25614.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2109:6916:8448.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2114:16049:26292.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2114:26063:14788.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2108:11598:25372.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2107:22016:9882.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2110:20941:5277.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:1102:9405:10527.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2109:8433:8473.1	3	0
ERR619083.M00704:57:000000000-A5HJE:1:2102:27403:10331.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2112:5901:23526.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:1102:17843:29148.1	3	0
ERR619083.M00704:57:000000000-A5HJE:1:2105:11037:16459.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2107:9146:6624.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:1104:11116:14770.1	2	0
ERR619083.M00704:57:000000000-A5HJE:1:2104:19169:19601.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2105:22786:7681.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2102:12202:24216.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2112:13979:11758.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2111:25584:19755.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2113:16519:28192.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2109:22148:3166.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2106:25595:16604.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2106:25830:17666.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2101:16094:1905.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2108:25966:13854.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2111:10561:7820.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2102:19052:11754.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:1101:13929:2159.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:1102:23813:7040.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2104:14645:14449.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2107:24318:14596.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2111:8015:25005.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2102:15665:28229.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2101:9896:23317.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:1103:9659:5247.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2113:23446:19541.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2103:27781:12280.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:1103:15229:12072.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2114:9699:25150.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2104:10717:17307.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2113:17231:7954.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2111:12780:18642.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2113:3929:8605.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2111:17713:22151.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:1102:11448:24270.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2112:15281:8392.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2110:19253:11985.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2105:6514:7495.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:1103:13345:22122.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2113:13222:12549.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2113:8576:7766.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2101:22990:20474.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:1101:11702:25768.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:1101:27274:16049.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2108:9065:7656.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2102:15312:19840.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:1104:7589:4222.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2106:16797:5504.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2104:23378:19420.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:1104:18514:9710.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2104:24241:11144.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2108:15104:21658.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:1104:10588:13859.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2110:5374:16564.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2104:13457:9366.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:1102:13274:23929.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2114:20668:6446.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2104:13502:23829.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2111:13397:2935.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:1103:13122:7233.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2114:24684:7598.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2108:13510:21198.1	2	0
ERR619083.M00704:57:000000000-A5HJE:1:2105:24849:11979.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2103:5126:13935.1	3	0
ERR619083.M00704:57:000000000-A5HJE:1:1103:8591:20598.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2112:6182:11778.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2108:15039:28268.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:1101:16440:26064.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2107:13525:4082.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2105:4267:18992.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:1102:11923:9001.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2111:23480:10626.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2104:23827:14996.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2111:12968:19522.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:1103:12254:18772.1	2	0
ERR619083.M00704:57:000000000-A5HJE:1:2107:21650:13574.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2102:12722:20302.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2109:20560:14019.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2105:6636:14548.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:1101:16738:25785.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:1103:12930:20833.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2110:6732:6912.1	2	0
ERR619083.M00704:57:000000000-A5HJE:1:2102:24865:22125.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2107:13796:5871.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2108:27345:16663.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2103:23952:20105.1	3	0
ERR619083.M00704:57:000000000-A5HJE:1:2112:9963:8857.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2106:11293:13310.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2111:8188:14920.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2107:25640:5835.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2110:12114:27601.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2102:16041:3113.1	2	0
ERR619083.M00704:57:000000000-A5HJE:1:1103:17263:20019.1	3	0
ERR619083.M00704:57:000000000-A5HJE:1:1103:16451:5767.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2106:22239:4824.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2112:27800:17347.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2103:18211:16527.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2113:22897:27191.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2103:23854:10478.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2114:21952:15638.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2105:8559:11418.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2113:3881:18623.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:1104:12709:19278.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2114:14007:13844.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2107:23052:22253.1	2	0
ERR619083.M00704:57:000000000-A5HJE:1:1104:3474:14885.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2107:18161:7570.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:1103:17216:5657.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:1102:24738:13412.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:1104:11726:20272.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2108:6867:18116.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2106:23993:25310.1	1	0
