#id	sample1_ITS1	sample2_ITS1
M00842:223:000000000-B33D5:1:1113:27187:7340_ITS1	0	1
M00842:223:000000000-B33D5:1:1117:23703:2298_ITS1	0	1
M00842:223:000000000-B33D5:1:1107:11255:17997_ITS1	0	1
M00842:223:000000000-B33D5:1:1101:12460:18926_ITS1	0	1
M00842:223:000000000-B33D5:1:1104:4326:18390_ITS1	4	1
M00842:223:000000000-B33D5:1:1105:7431:7347_ITS1	1	0
M00842:223:000000000-B33D5:1:1101:4791:17900_ITS1	1	0
M00842:223:000000000-B33D5:1:1102:14299:24566_ITS1	1	0
M00842:223:000000000-B33D5:1:1102:20759:15939_ITS1	0	1
M00842:223:000000000-B33D5:1:1101:8110:17094_ITS1	1	0
M00842:223:000000000-B33D5:1:1109:29398:14899_ITS1	1	0
M00842:223:000000000-B33D5:1:1103:26018:4738_ITS1	1	0
M00842:223:000000000-B33D5:1:1111:25346:16305_ITS1	0	1
M00842:223:000000000-B33D5:1:1102:12077:15270_ITS1	0	1
M00842:223:000000000-B33D5:1:1116:20493:10794_ITS1	0	1
M00842:223:000000000-B33D5:1:1101:12632:4107_ITS1	1	0
M00842:223:000000000-B33D5:1:1110:9239:20604_ITS1	0	1
M00842:223:000000000-B33D5:1:1112:7506:19616_ITS1	1	0
M00842:223:000000000-B33D5:1:1105:9073:13666_ITS1	1	1
M00842:223:000000000-B33D5:1:1109:17724:18899_ITS1	1	0
M00842:223:000000000-B33D5:1:1109:8174:10740_ITS1	1	0
M00842:223:000000000-B33D5:1:1106:24893:17755_ITS1	0	1
M00842:223:000000000-B33D5:1:1102:11782:23196_ITS1	0	1
M00842:223:000000000-B33D5:1:1109:12378:7831_ITS1	1	0
M00842:223:000000000-B33D5:1:1104:7697:9994_ITS1	1	0
M00842:223:000000000-B33D5:1:1105:26712:15419_ITS1	1	0
M00842:223:000000000-B33D5:1:1101:9108:19236_ITS1	5	2
M00842:223:000000000-B33D5:1:1116:10794:8391_ITS1	0	2
M00842:223:000000000-B33D5:1:1111:17407:18942_ITS1	0	1
M00842:223:000000000-B33D5:1:1117:10021:11664_ITS1	0	1
M00842:223:000000000-B33D5:1:1105:6715:16885_ITS1	0	1
M00842:223:000000000-B33D5:1:1109:8287:16700_ITS1	1	0
M00842:223:000000000-B33D5:1:1104:14724:7339_ITS1	7	13
M00842:223:000000000-B33D5:1:1116:9441:23828_ITS1	0	1
M00842:223:000000000-B33D5:1:1108:18809:24513_ITS1	2	0
M00842:223:000000000-B33D5:1:1105:25069:19551_ITS1	0	1
M00842:223:000000000-B33D5:1:1109:21022:5766_ITS1	0	1
M00842:223:000000000-B33D5:1:1102:25875:12101_ITS1	1	0
M00842:223:000000000-B33D5:1:1102:19763:19803_ITS1	1	2
M00842:223:000000000-B33D5:1:1104:13849:10748_ITS1	1	0
M00842:223:000000000-B33D5:1:1114:24415:11340_ITS1	0	1
M00842:223:000000000-B33D5:1:1104:10992:22242_ITS1	1	0
M00842:223:000000000-B33D5:1:1102:23553:5794_ITS1	1	0
M00842:223:000000000-B33D5:1:1112:8528:12868_ITS1	0	1
M00842:223:000000000-B33D5:1:1109:19029:11968_ITS1	1	0
M00842:223:000000000-B33D5:1:1102:15703:6379_ITS1	1	0
M00842:223:000000000-B33D5:1:1101:24809:19812_ITS1	5	5
M00842:223:000000000-B33D5:1:1104:11895:12160_ITS1	1	0
M00842:223:000000000-B33D5:1:1109:23036:23590_ITS1	0	1
M00842:223:000000000-B33D5:1:1103:19316:11609_ITS1	0	1
M00842:223:000000000-B33D5:1:1106:21138:2803_ITS1	2	1
M00842:223:000000000-B33D5:1:1109:22206:11323_ITS1	3	1
M00842:223:000000000-B33D5:1:1110:26652:18826_ITS1	1	0
M00842:223:000000000-B33D5:1:1106:24700:13318_ITS1	11	14
M00842:223:000000000-B33D5:1:1106:7263:16633_ITS1	0	1
M00842:223:000000000-B33D5:1:1104:3951:15698_ITS1	1	0
M00842:223:000000000-B33D5:1:1116:7913:2794_ITS1	0	1
M00842:223:000000000-B33D5:1:1108:26531:4330_ITS1	1	0
M00842:223:000000000-B33D5:1:1104:13422:10412_ITS1	2	0
M00842:223:000000000-B33D5:1:1103:18493:18705_ITS1	1	1
M00842:223:000000000-B33D5:1:1114:2850:11447_ITS1	0	1
M00842:223:000000000-B33D5:1:1105:8560:3029_ITS1	1	2
M00842:223:000000000-B33D5:1:1106:27533:7921_ITS1	0	1
M00842:223:000000000-B33D5:1:1106:7279:5968_ITS1	1	3
M00842:223:000000000-B33D5:1:1105:22216:13465_ITS1	6	2
M00842:223:000000000-B33D5:1:1101:22478:9300_ITS1	1	0
M00842:223:000000000-B33D5:1:1114:14614:5502_ITS1	0	1
M00842:223:000000000-B33D5:1:1104:15716:10469_ITS1	1	0
M00842:223:000000000-B33D5:1:1104:19143:7739_ITS1	8	10
M00842:223:000000000-B33D5:1:1102:23974:15849_ITS1	3	3
M00842:223:000000000-B33D5:1:1106:22037:9848_ITS1	4	3
M00842:223:000000000-B33D5:1:1101:21934:9540_ITS1	2	1
M00842:223:000000000-B33D5:1:1101:27092:10041_ITS1	0	1
M00842:223:000000000-B33D5:1:1101:27109:10044_ITS1	0	1
M00842:223:000000000-B33D5:1:1106:26118:14650_ITS1	4	10
M00842:223:000000000-B33D5:1:1104:11950:11739_ITS1	1	0
M00842:223:000000000-B33D5:1:1118:24872:12993_ITS1	0	2
M00842:223:000000000-B33D5:1:1117:4529:5271_ITS1	0	1
M00842:223:000000000-B33D5:1:1118:16706:18242_ITS1	0	1
M00842:223:000000000-B33D5:1:1102:29652:13542_ITS1	6	3
M00842:223:000000000-B33D5:1:1109:20623:4243_ITS1	0	1
M00842:223:000000000-B33D5:1:1105:3151:15881_ITS1	9	15
M00842:223:000000000-B33D5:1:1109:13497:10830_ITS1	0	1
M00842:223:000000000-B33D5:1:1106:22766:24072_ITS1	1	0
M00842:223:000000000-B33D5:1:1115:19347:9989_ITS1	0	1
M00842:223:000000000-B33D5:1:1105:26049:17873_ITS1	1	0
M00842:223:000000000-B33D5:1:1117:25436:9986_ITS1	0	1
M00842:223:000000000-B33D5:1:1105:13655:23984_ITS1	1	0
M00842:223:000000000-B33D5:1:1106:3941:20530_ITS1	2	1
M00842:223:000000000-B33D5:1:1107:14452:23820_ITS1	1	0
M00842:223:000000000-B33D5:1:1116:21928:2407_ITS1	0	1
M00842:223:000000000-B33D5:1:1116:28506:17708_ITS1	0	1
M00842:223:000000000-B33D5:1:1106:11523:22654_ITS1	2	1
M00842:223:000000000-B33D5:1:1101:5960:7505_ITS1	1	0
M00842:223:000000000-B33D5:1:1108:2777:18045_ITS1	0	1
M00842:223:000000000-B33D5:1:1101:22071:21326_ITS1	0	1
M00842:223:000000000-B33D5:1:1111:7982:9579_ITS1	0	1
M00842:223:000000000-B33D5:1:1111:23094:7696_ITS1	1	0
M00842:223:000000000-B33D5:1:1111:7986:3171_ITS1	2	1
M00842:223:000000000-B33D5:1:1111:21292:15634_ITS1	1	0
M00842:223:000000000-B33D5:1:1111:17690:4631_ITS1	1	1
M00842:223:000000000-B33D5:1:1111:18846:13222_ITS1	1	0
M00842:223:000000000-B33D5:1:1111:14673:24850_ITS1	2	0
M00842:223:000000000-B33D5:1:1111:18615:11855_ITS1	1	0
M00842:223:000000000-B33D5:1:1107:18544:14413_ITS1	1	0
M00842:223:000000000-B33D5:1:1101:23009:8476_ITS1	1	0
M00842:223:000000000-B33D5:1:1101:5299:8920_ITS1	1	0
M00842:223:000000000-B33D5:1:1108:12747:13453_ITS1	1	0
M00842:223:000000000-B33D5:1:1111:23859:12886_ITS1	0	1
M00842:223:000000000-B33D5:1:1111:23231:24899_ITS1	0	1
M00842:223:000000000-B33D5:1:1101:9535:23914_ITS1	1	0
M00842:223:000000000-B33D5:1:1113:18223:2343_ITS1	1	0
M00842:223:000000000-B33D5:1:1107:8944:19182_ITS1	0	1
M00842:223:000000000-B33D5:1:1104:21822:6133_ITS1	0	1
M00842:223:000000000-B33D5:1:1107:7751:6882_ITS1	0	1
M00842:223:000000000-B33D5:1:1113:14499:2809_ITS1	0	1
M00842:223:000000000-B33D5:1:1113:27306:5455_ITS1	1	0
M00842:223:000000000-B33D5:1:1113:27229:5270_FROGS_combined_ITS1	0	1
M00842:223:000000000-B33D5:1:1115:26412:4986_ITS1	0	1
M00842:223:000000000-B33D5:1:1115:8951:24816_ITS1	0	2
M00842:223:000000000-B33D5:1:1103:4665:20711_ITS1	0	1
M00842:223:000000000-B33D5:1:1115:26609:10823_ITS1	0	1
M00842:223:000000000-B33D5:1:1112:3107:8491_ITS1	0	1
M00842:223:000000000-B33D5:1:1101:3455:16708_ITS1	1	0
M00842:223:000000000-B33D5:1:1104:1955:13974_ITS1	1	0
M00842:223:000000000-B33D5:1:1107:23017:4893_ITS1	0	1
M00842:223:000000000-B33D5:1:1116:9547:19116_ITS1	0	1
M00842:223:000000000-B33D5:1:1109:26175:8592_ITS1	1	0
M00842:223:000000000-B33D5:1:1118:7430:20152_ITS1	0	1
M00842:223:000000000-B33D5:1:1102:18111:10790_ITS1	1	0
M00842:223:000000000-B33D5:1:1110:24788:18851_ITS1	1	1
M00842:223:000000000-B33D5:1:1104:6788:3257_ITS1	1	0
