normalized	BHT0.LOT01	BHT0.LOT03	BHT0.LOT04	BHT0.LOT05	BHT0.LOT06	BHT0.LOT07	BHT0.LOT08	BHT0.LOT10	CDT0.LOT02	CDT0.LOT04	CDT0.LOT05	CDT0.LOT06	CDT0.LOT07	CDT0.LOT08	CDT0.LOT09	CDT0.LOT10	DLT0.LOT01	DLT0.LOT03	DLT0.LOT04	DLT0.LOT05	DLT0.LOT06	DLT0.LOT07	DLT0.LOT08	DLT0.LOT10	FCT0.LOT01	FCT0.LOT02	FCT0.LOT03	FCT0.LOT05	FCT0.LOT06	FCT0.LOT07	FCT0.LOT08	FCT0.LOT10	FST0.LOT01	FST0.LOT02	FST0.LOT03	FST0.LOT05	FST0.LOT06	FST0.LOT07	FST0.LOT08	FST0.LOT10	MVT0.LOT01	MVT0.LOT03	MVT0.LOT05	MVT0.LOT06	MVT0.LOT07	MVT0.LOT08	MVT0.LOT09	MVT0.LOT10	SFT0.LOT01	SFT0.LOT02	SFT0.LOT03	SFT0.LOT04	SFT0.LOT05	SFT0.LOT06	SFT0.LOT07	SFT0.LOT08	VHT0.LOT01	VHT0.LOT02	VHT0.LOT03	VHT0.LOT04	VHT0.LOT06	VHT0.LOT07	VHT0.LOT08	VHT0.LOT10
Cluster_1	791.0	402.0	433.0	911.0	1232.0	653.0	441.0	2621.0	64.0	77.0	263.0	302.0	22.0	894.0	19.0	30.0	5958.0	6389.0	636.0	4312.0	4095.0	1239.0	5241.0	2367.0	799.0	114.0	6.0	51.0	534.0	84.0	1029.0	32.0	1031.0	57.0	98.0	137.0	187.0	2474.0	726.0	237.0	70.0	96.0	57.0	55.0	148.0	45.0	12.0	4.0	42.0	821.0	2331.0	596.0	668.0	3.0	34.0	371.0	6608.0	3095.0	1104.0	3796.0	2010.0	5984.0	6741.0	3170.0
Cluster_10	0.0	0.0	0.0	16.0	6.0	0.0	2.0	0.0	0.0	1.0	6.0	9.0	0.0	0.0	1.0	0.0	0.0	3.0	1.0	2.0	37.0	70.0	0.0	0.0	1995.0	1.0	0.0	12.0	43.0	41.0	1445.0	9.0	12.0	110.0	56.0	80.0	16.0	80.0	55.0	11.0	6.0	3.0	4.0	4.0	9.0	8.0	1.0	4.0	0.0	0.0	0.0	7.0	4.0	0.0	0.0	0.0	4.0	0.0	0.0	4.0	3.0	3.0	4.0	0.0
Cluster_2	3.67	0.67	3.83	3.0	3.17	3.33	4.83	0.5	0.17	0.0	0.17	0.33	0.0	0.33	0.0	0.0	0.0	0.0	1.17	0.67	0.83	1.17	0.67	0.83	10.67	135.83	48.17	71.17	4.5	3.0	85.17	72.0	3.67	29.67	29.67	25.67	470.0	5.83	1.67	6.83	0.67	0.67	2.83	1.5	313.5	3.0	0.5	0.0	1115.83	31.0	264.17	21.17	38.33	741.83	985.0	664.83	1.67	0.67	1.17	0.0	0.0	0.0	0.0	1.0
Cluster_3	342.0	70.0	71.0	218.0	81.0	199.0	114.0	99.0	0.0	3.0	24.0	41.0	2.0	2.0	1.0	8.0	14.0	4.0	102.0	138.0	85.0	167.0	25.0	115.0	2.0	135.0	32.0	21.0	114.0	69.0	98.0	93.0	38.0	1682.0	1598.0	1495.0	20.0	52.0	14.0	21.0	3225.0	3156.0	700.0	1200.0	286.0	1358.0	4747.0	6722.0	106.0	2767.0	1116.0	2788.0	3843.0	11.0	738.0	91.0	78.0	16.0	119.0	53.0	30.0	46.0	61.0	45.0
Cluster_4	146.0	1251.0	263.0	327.0	180.0	118.0	293.0	86.0	0.0	5.0	179.0	212.0	5.0	1.0	0.0	77.0	49.0	26.0	105.0	148.0	69.0	430.0	42.0	287.0	0.0	23.0	13.0	58.0	43.0	61.0	64.0	37.0	3265.0	653.0	723.0	676.0	1305.0	2284.0	3068.0	3127.0	71.0	216.0	378.0	846.0	210.0	190.0	122.0	13.0	3.0	173.0	34.0	105.0	86.0	1.0	14.0	16.0	3.0	6.0	54.0	6.0	9.0	9.0	3.0	8.0
Cluster_5	921.0	108.5	621.5	899.5	811.5	687.0	477.0	656.0	1.5	8.5	42.0	40.0	8.5	7.0	2.5	25.5	0.0	0.0	0.5	4.5	3.0	10.5	1.5	55.5	0.0	2.5	1.0	0.0	1.5	0.5	2.0	1.0	195.5	74.0	32.0	21.5	1136.0	283.0	773.5	501.0	10.5	9.5	12.5	51.5	34.5	5.5	82.5	10.0	15.5	346.0	265.0	658.0	423.5	1.0	71.0	79.5	238.5	587.0	936.0	612.5	400.5	167.5	270.0	971.5
Cluster_6	2408.0	603.0	1372.0	2231.0	2597.0	2218.0	1981.0	659.0	6.0	4.0	27.0	9.0	8.0	62.0	1.0	3.0	0.0	22.0	4.0	7.0	9.0	20.0	0.0	171.0	3.0	21.0	0.0	2.0	12.0	5.0	10.0	0.0	159.0	131.0	106.0	116.0	56.0	329.0	91.0	35.0	34.0	23.0	34.0	7.0	4.0	35.0	12.0	5.0	43.0	491.0	322.0	742.0	452.0	3.0	84.0	48.0	208.0	633.0	896.0	214.0	709.0	114.0	335.0	355.0
Cluster_7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2532.0	374.0	1149.0	126.0	5607.0	121.0	1924.0	3439.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cluster_8	27.0	16.5	25.5	5.0	36.0	0.5	25.0	12.0	0.0	69.5	0.0	3.5	0.5	18.5	2.0	0.0	0.0	2.5	0.0	0.5	0.5	4.0	3.0	3.0	97.0	0.5	2933.0	2235.0	1.0	2472.0	1.5	2.5	34.5	0.0	1.0	1.0	5.0	23.0	6.5	2.0	4.0	1.5	3.5	4.0	1.5	9.5	5.0	9.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.5	9.0	5.5	0.0	0.0	0.5	0.0
Cluster_9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1156.0	31.8	0.0	14.8	0.2	1100.0	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	1.4	0.0	0.0	0.0
