classification	db_link	observation_name	observation_sum	BHT0.LOT01	BHT0.LOT03	BHT0.LOT04	BHT0.LOT05	BHT0.LOT06	BHT0.LOT07	BHT0.LOT08	BHT0.LOT10	CDT0.LOT02	CDT0.LOT04	CDT0.LOT05	CDT0.LOT06	CDT0.LOT07	CDT0.LOT08	CDT0.LOT09	CDT0.LOT10	DLT0.LOT01	DLT0.LOT03	DLT0.LOT04	DLT0.LOT05	DLT0.LOT06	DLT0.LOT07	DLT0.LOT08	DLT0.LOT10	FCT0.LOT01	FCT0.LOT02	FCT0.LOT03	FCT0.LOT05	FCT0.LOT06	FCT0.LOT07	FCT0.LOT08	FCT0.LOT10	FST0.LOT01	FST0.LOT02	FST0.LOT03	FST0.LOT05	FST0.LOT06	FST0.LOT07	FST0.LOT08	FST0.LOT10	MVT0.LOT01	MVT0.LOT03	MVT0.LOT05	MVT0.LOT06	MVT0.LOT07	MVT0.LOT08	MVT0.LOT09	MVT0.LOT10	SFT0.LOT01	SFT0.LOT02	SFT0.LOT03	SFT0.LOT04	SFT0.LOT05	SFT0.LOT06	SFT0.LOT07	SFT0.LOT08	VHT0.LOT01	VHT0.LOT02	VHT0.LOT03	VHT0.LOT04	VHT0.LOT06	VHT0.LOT07	VHT0.LOT08	VHT0.LOT10
Oxidoreductases;Acting on the CH-OH group of donors;With NAD+ or NADP+ as acceptor;Alcohol dehydrogenase	https://www.genome.jp/dbget-bin/www_bget?EC:1.1.1.1	EC:1.1.1.1	549812.0	7778.7	3264.7	4188.3	7309.0	7372.7	6045.3	4778.3	7823.0	7514.7	1145.6	3235.7	1401.9	11299.4	4357.3	3901.8	7109.0	12035.0	12851.0	1903.7	9485.7	8708.3	3803.7	10664.7	5892.3	1911.7	2311.3	6534.7	5448.7	1743.0	5554.0	3480.7	1293.0	6172.7	9752.7	9377.7	8842.7	8817.0	8491.3	6257.7	4815.3	16405.7	16239.7	4086.3	7089.0	5147.0	7165.0	24073.0	33674.0	11849.3	17143.0	13769.7	17508.7	22319.3	7485.3	13848.0	8068.3	14310.7	8092.7	5654.7	9313.8	5691.8	12656.0	14666.0	8881.0
Oxidoreductases;Acting on the CH-OH group of donors;With NAD+ or NADP+ as acceptor;3-oxoacyl-[acyl-carrier-protein] reductase	https://www.genome.jp/dbget-bin/www_bget?EC:1.1.1.100	EC:1.1.1.100	542523.5	12986.35	5703.35	7681.15	12599.5	13434.35	10872.15	9289.15	9694.5	7527.35	1233.6	3479.85	1618.75	11325.4	4502.15	3909.3	7201.5	12056.0	12924.5	1810.35	9379.35	8735.65	4158.35	10657.85	6345.65	7942.35	1433.15	9176.85	7383.85	1691.0	8067.5	7281.35	814.5	9927.35	7559.35	7169.35	6894.85	9033.0	11846.15	10416.35	8472.15	10123.85	10206.35	3146.15	5609.0	3288.5	4733.0	14813.0	20284.0	6162.65	12955.0	11159.85	14095.85	15867.15	3762.15	7700.0	4753.65	14815.85	9917.85	8201.85	10271.8	7468.3	12977.5	15499.5	10475.5
Oxidoreductases;Acting on the CH-OH group of donors;With NAD+ or NADP+ as acceptor;L-threonine 3-dehydrogenase	https://www.genome.jp/dbget-bin/www_bget?EC:1.1.1.103	EC:1.1.1.103	27497.2	149.67	1251.67	266.83	330.0	183.17	121.33	297.83	86.5	0.17	5.0	179.17	212.33	5.0	1.33	0.0	77.0	49.0	26.0	106.17	148.67	69.83	431.17	42.67	287.83	10.67	158.83	61.17	129.17000000000002	47.5	64.0	149.17000000000004	109.0	3268.67	682.67	752.67	701.67	1775.0	2289.83	3069.67	3133.83	71.67	216.67	380.83	847.5	523.5	193.0	122.5	13.0	1118.83	204.0	298.17	126.17	124.33	742.83	999.0	680.83	4.67	6.67	55.17	6.0	9.0	9.0	3.0	9.0
Oxidoreductases;Acting on the CH-OH group of donors;With NAD+ or NADP+ as acceptor;2-deoxy-D-gluconate 3-dehydrogenase	https://www.genome.jp/dbget-bin/www_bget?EC:1.1.1.125	EC:1.1.1.125	34577.200000000004	1845.67	217.67	1246.83	1802.0	1626.17	1377.33	958.83	1312.5	3.17	17.0	84.17	80.33	17.0	14.33	5.0	51.0	0.0	0.0	2.17	9.67	6.83	22.17	3.67	111.83	10.67	140.83	50.17	71.17	7.5	4.0	89.17	74.0	394.67	177.67000000000004	93.67	68.67	2742.0	571.83	1548.67	1008.83	21.67	19.67	27.83	104.5	382.5	14.0	165.5	20.0	1146.83	723.0	794.1700000000002	1337.17	885.33	743.83	1127.0	823.83	478.67	1174.67	1873.17	1225.0	801.0	335.0	540.0	1944.0
Oxidoreductases;Acting on the CH-OH group of donors;With NAD+ or NADP+ as acceptor;dTDP-4-dehydrorhamnose reductase	https://www.genome.jp/dbget-bin/www_bget?EC:1.1.1.133	EC:1.1.1.133	71690.5	3383.0	744.5	2044.5	3156.5	3486.5	2906.0	2510.0	1339.0	2539.5	526.5	1224.0	191.0	5624.5	227.0	1932.5	3467.5	0.0	30.0	5.5	14.5	50.0	108.5	7.5	232.5	2192.0	25.5	5867.0	4484.0	58.5	4990.5	1460.0	15.0	435.5	315.0	196.0	219.5	1218.0	738.0	932.5	551.0	58.5	38.5	57.5	70.5	50.5	67.5	105.5	37.0	58.5	837.0	587.0	1409.0	879.5	4.0	155.0	127.5	450.5	1223.0	1850.0	841.5	1112.5	284.5	610.0	1326.5
Oxidoreductases;Acting on the CH-OH group of donors;With NAD+ or NADP+ as acceptor;Ribitol-5-phosphate 2-dehydrogenase	https://www.genome.jp/dbget-bin/www_bget?EC:1.1.1.137	EC:1.1.1.137	2305.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1156.0	31.8	0.0	14.8	0.2	1100.0	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	1.4	0.0	0.0	0.0
Oxidoreductases;Acting on the CH-OH group of donors;With NAD+ or NADP+ as acceptor;L-iditol 2-dehydrogenase	https://www.genome.jp/dbget-bin/www_bget?EC:1.1.1.14	EC:1.1.1.14	37547.0	146.0	1251.0	263.0	327.0	180.0	118.0	293.0	86.0	2532.0	379.0	1328.0	338.0	5612.0	122.0	1924.0	3516.0	49.0	26.0	105.0	148.0	69.0	430.0	42.0	287.0	0.0	23.0	13.0	58.0	43.0	61.0	64.0	37.0	3265.0	653.0	723.0	676.0	1305.0	2284.0	3068.0	3127.0	71.0	216.0	378.0	846.0	210.0	190.0	122.0	13.0	3.0	173.0	34.0	105.0	86.0	1.0	14.0	16.0	3.0	6.0	54.0	6.0	9.0	9.0	3.0	8.0
Oxidoreductases;Acting on the CH-OH group of donors;With NAD+ or NADP+ as acceptor;3-hydroxybutyryl-CoA dehydrogenase	https://www.genome.jp/dbget-bin/www_bget?EC:1.1.1.157	EC:1.1.1.157	19460.0	0.0	0.0	0.0	16.0	6.0	0.0	2.0	0.0	2532.0	375.0	1155.0	135.0	5607.0	121.0	1925.0	3439.0	0.0	3.0	1.0	2.0	37.0	70.0	0.0	0.0	1995.0	1.0	0.0	12.0	43.0	41.0	1445.0	9.0	12.0	110.0	56.0	80.0	16.0	80.0	55.0	11.0	6.0	3.0	4.0	4.0	9.0	8.0	1.0	4.0	0.0	0.0	0.0	7.0	4.0	0.0	0.0	0.0	4.0	0.0	0.0	4.0	3.0	3.0	4.0	0.0
Oxidoreductases;Acting on the CH-OH group of donors;With NAD+ or NADP+ as acceptor;2-dehydropantoate 2-reductase	https://www.genome.jp/dbget-bin/www_bget?EC:1.1.1.169	EC:1.1.1.169	101751.20000000001	2333.67	1538.67	1580.83	2363.0	1893.17	1694.33	1367.83	1497.5	3.17	26.0	293.17	342.33	24.0	17.33	7.0	136.0	63.0	33.0	210.17	297.67	197.83	689.1700000000002	70.67	513.8299999999998	2007.67	299.8300000000001	95.17	162.17000000000004	207.5	175.0	1696.17	213.0	3709.67	2622.67	2470.67	2319.67	4083.0	2987.83	4685.67	4167.83	3323.67	3394.67	1109.83	2154.5	887.5	1570.0	5035.5	6759.0	1255.83	3663.0	1944.17	4237.17	4818.33	755.83	1879.0	930.83	563.67	1196.67	2046.17	1288.0	843.0	393.0	608.0	1997.0
Oxidoreductases;Acting on the CH-OH group of donors;With NAD+ or NADP+ as acceptor;Mannitol-1-phosphate 5-dehydrogenase	https://www.genome.jp/dbget-bin/www_bget?EC:1.1.1.17	EC:1.1.1.17	114276.0	3226.0	1021.5	1830.5	3147.0	3865.0	2871.5	2447.0	3292.0	70.0	150.5	290.0	314.5	30.5	974.5	22.0	33.0	5958.0	6413.5	640.0	4319.5	4104.5	1263.0	5244.0	2541.0	899.0	135.5	2939.0	2288.0	547.0	2561.0	1040.5	34.5	1224.5	188.0	205.0	254.0	248.0	2826.0	823.5	274.0	108.0	120.5	94.5	66.0	153.5	89.5	29.0	18.0	85.0	1312.0	2653.0	1339.0	1120.0	6.0	118.0	419.0	6816.0	3729.5	2009.0	4015.5	2719.0	6098.0	7076.5	3525.0
Oxidoreductases;Acting on the CH-OH group of donors;With NAD+ or NADP+ as acceptor;Inositol 2-dehydrogenase	https://www.genome.jp/dbget-bin/www_bget?EC:1.1.1.18	EC:1.1.1.18	122396.0	937.0	1653.0	696.0	1238.0	1412.0	771.0	734.0	2707.0	2596.0	456.0	1591.0	640.0	5634.0	1016.0	1943.0	3546.0	6007.0	6415.0	741.0	4460.0	4164.0	1669.0	5283.0	2654.0	799.0	137.0	19.0	109.0	577.0	145.0	1093.0	69.0	4296.0	710.0	821.0	813.0	1492.0	4758.0	3794.0	3364.0	141.0	312.0	435.0	901.0	358.0	235.0	134.0	17.0	45.0	994.0	2365.0	701.0	754.0	4.0	48.0	387.0	6611.0	3101.0	1158.0	3802.0	2019.0	5993.0	6744.0	3178.0
Oxidoreductases;Acting on the CH-OH group of donors;With NAD+ or NADP+ as acceptor;5-amino-6-(5-phosphoribosylamino)uracil reductase	https://www.genome.jp/dbget-bin/www_bget?EC:1.1.1.193	EC:1.1.1.193	131806.2	940.67	1653.67	699.8299999999998	1257.0	1421.17	774.33	740.8299999999998	2707.5	2596.17	457.0	1597.17	649.3299999999998	5634.0	1016.33	1944.0	3546.0	6007.0	6418.0	743.17	4462.67	4201.83	1740.17	5283.67	2654.83	2804.67	273.83000000000004	67.17	192.17	624.5	189.0	2623.17	150.0	4311.67	849.6700000000002	906.67	918.67	1978.0	4843.83	3850.67	3381.83	147.67000000000004	315.67	441.83	906.5	680.5	246.0	135.5	21.0	1160.83	1025.0	2629.17	729.17	796.33	745.83	1033.0	1051.83	6616.67	3101.67	1159.17	3806.0	2022.0	5996.0	6748.0	3179.0
Oxidoreductases;Acting on the CH-OH group of donors;With NAD+ or NADP+ as acceptor;1,3-propanediol dehydrogenase	https://www.genome.jp/dbget-bin/www_bget?EC:1.1.1.202	EC:1.1.1.202	40711.0	342.0	70.0	71.0	218.0	81.0	199.0	114.0	99.0	0.0	3.0	24.0	41.0	2.0	2.0	1.0	8.0	14.0	4.0	102.0	138.0	85.0	167.0	25.0	115.0	2.0	135.0	32.0	21.0	114.0	69.0	98.0	93.0	38.0	1682.0	1598.0	1495.0	20.0	52.0	14.0	21.0	3225.0	3156.0	700.0	1200.0	286.0	1358.0	4747.0	6722.0	106.0	2767.0	1116.0	2788.0	3843.0	11.0	738.0	91.0	78.0	16.0	119.0	53.0	30.0	46.0	61.0	45.0
Oxidoreductases;Acting on the CH-OH group of donors;With NAD+ or NADP+ as acceptor;IMP dehydrogenase	https://www.genome.jp/dbget-bin/www_bget?EC:1.1.1.205	EC:1.1.1.205	263476.7	4930.67	4953.67	3315.83	5264.5	5306.67	4114.83	3923.83	4305.5	3759.67	583.8	2048.17	1181.63	5663.2	2207.83	1950.9	3736.5	6119.0	6498.5	1059.67	4908.67	4437.33	2801.67	5397.17	3573.33	2906.67	478.83	3059.17	2566.17	839.0	2857.5	2862.67	320.5	11268.67	4042.67	4089.67	3904.17	5805.0	10098.83	10871.67	10194.83	3563.17	3937.67	1947.83	3861.0	1426.5	2034.0	5226.0	6793.0	1331.33	4975.0	4400.17	5128.17	5686.83	762.83	1954.0	1302.33	7147.17	4351.17	3227.17	4703.4	3180.9	6341.5	7420.5	4566.5
Oxidoreductases;Acting on the CH-OH group of donors;With NAD+ or NADP+ as acceptor;Gluconate 2-dehydrogenase	https://www.genome.jp/dbget-bin/www_bget?EC:1.1.1.215	EC:1.1.1.215	84849.0	791.0	402.0	433.0	911.0	1232.0	653.0	441.0	2621.0	64.0	77.0	263.0	302.0	22.0	894.0	19.0	30.0	5958.0	6389.0	636.0	4312.0	4095.0	1239.0	5241.0	2367.0	799.0	114.0	6.0	51.0	534.0	84.0	1029.0	32.0	1031.0	57.0	98.0	137.0	187.0	2474.0	726.0	237.0	70.0	96.0	57.0	55.0	148.0	45.0	12.0	4.0	42.0	821.0	2331.0	596.0	668.0	3.0	34.0	371.0	6608.0	3095.0	1104.0	3796.0	2010.0	5984.0	6741.0	3170.0
Oxidoreductases;Acting on the CH-OH group of donors;With NAD+ or NADP+ as acceptor;Dihydrokaempferol 4-reductase	https://www.genome.jp/dbget-bin/www_bget?EC:1.1.1.219	EC:1.1.1.219	40711.0	342.0	70.0	71.0	218.0	81.0	199.0	114.0	99.0	0.0	3.0	24.0	41.0	2.0	2.0	1.0	8.0	14.0	4.0	102.0	138.0	85.0	167.0	25.0	115.0	2.0	135.0	32.0	21.0	114.0	69.0	98.0	93.0	38.0	1682.0	1598.0	1495.0	20.0	52.0	14.0	21.0	3225.0	3156.0	700.0	1200.0	286.0	1358.0	4747.0	6722.0	106.0	2767.0	1116.0	2788.0	3843.0	11.0	738.0	91.0	78.0	16.0	119.0	53.0	30.0	46.0	61.0	45.0
