	DLT0.LOT08	DLT0.LOT05	DLT0.LOT03	DLT0.LOT07	DLT0.LOT06	DLT0.LOT01	DLT0.LOT04	DLT0.LOT10	MVT0.LOT05	MVT0.LOT01	MVT0.LOT06	MVT0.LOT07	MVT0.LOT03	MVT0.LOT09	MVT0.LOT08	MVT0.LOT10	BHT0.LOT01	BHT0.LOT07	BHT0.LOT06	BHT0.LOT03	BHT0.LOT10	BHT0.LOT05	BHT0.LOT04	BHT0.LOT08	VHT0.LOT02	VHT0.LOT10	VHT0.LOT03	VHT0.LOT01	VHT0.LOT08	VHT0.LOT06	VHT0.LOT07	VHT0.LOT04	SFT0.LOT08	SFT0.LOT07	SFT0.LOT06	SFT0.LOT03	SFT0.LOT02	SFT0.LOT05	SFT0.LOT04	SFT0.LOT01	FST0.LOT07	FST0.LOT08	FST0.LOT05	FST0.LOT06	FST0.LOT01	FST0.LOT03	FST0.LOT10	FST0.LOT02	FCT0.LOT06	FCT0.LOT10	FCT0.LOT05	FCT0.LOT03	FCT0.LOT08	FCT0.LOT02	FCT0.LOT07	FCT0.LOT01	CDT0.LOT10	CDT0.LOT08	CDT0.LOT05	CDT0.LOT04	CDT0.LOT06	CDT0.LOT09	CDT0.LOT07	CDT0.LOT02
DLT0.LOT08	0	0.239033964840416	0.724185014507595	0.380952380952381	0.362177846048814	0.739887352790579	0.268390510325994	0.617255504352278	0.94205495818399	0.947943335040109	0.934289127837515	0.943505717699266	0.919610855094726	0.932497013142174	0.961853558627752	0.979604027991125	0.879074927462024	0.899726915855948	0.901604369346305	0.841099163679809	0.814302782044718	0.877965523126813	0.891278375149343	0.647294760197986	0.314388120839734	0.635347328895716	0.806622290493258	0.509984639016897	0.740570063150708	0.302696705922512	0.309609148318826	0.598139614268646	0.968851339819082	0.864908687489333	0.70378904249872	0.88547533708824	0.885731353473289	0.994879672299027	0.970302099334357	0.934801160607612	0.834784092848609	0.942566990954088	0.935313193377709	0.934033111452466	0.947601979860044	0.672981737497866	0.853217272572111	0.923536439665472	0.852278545826933	0.902713773681516	0.955709165386585	0.928144734596347	0.835552142003755	0.919354838709677	0.811657279399215	0.928486089776412	0.970899470899471	0.940006827103601	0.87984297661717	0.85594811401263	0.979774705581157	0.823604710701485	0.951783580815839	0.931814302782045
DLT0.LOT05	0.239033964840416	0	0.817716333845366	0.418672128349548	0.408772828127667	0.748847926267281	0.314388120839734	0.6352619901007	0.946663253114866	0.947687318655061	0.934033111452466	0.953149001536098	0.920720259429937	0.93710530807305	0.967144563918757	0.981908175456563	0.884451271548046	0.900238948626045	0.913551800648575	0.830858508277863	0.814388120839734	0.885048643113159	0.898532172725721	0.658986175115207	0.246373101211811	0.636883427206008	0.811145246629118	0.50563236047107	0.744922341696535	0.303038061102577	0.249701314217443	0.60573476702509	0.967571257893839	0.861836490868749	0.698754053592763	0.880867042157365	0.8836832223929	0.994708994708995	0.967144563918757	0.935142515787677	0.835637480798771	0.941286909028844	0.935739887352791	0.932326335552142	0.946663253114866	0.675029868578256	0.858508277863117	0.92515787677078	0.846134152585766	0.90826079535757	0.953405017921147	0.926181942310975	0.846560846560847	0.928144734596347	0.809694487113842	0.917733401604369	0.970899470899471	0.913125106673494	0.898532172725721	0.84715821812596	0.977470558115719	0.82326335552142	0.949479433350401	0.944017750469363
DLT0.LOT03	0.724185014507595	0.817716333845366	0	0.724099675712579	0.708397337429596	0.737753882915173	0.808585082778631	0.679808841099164	0.912613073903397	0.905871309097116	0.877026796381635	0.776241679467486	0.873357228195938	0.874125277351084	0.91389315582864	0.966291175968595	0.877197473971667	0.834016043693463	0.849974398361495	0.831541218637993	0.850486431131592	0.84963304318143	0.840672469704728	0.839563065369517	0.885987369858338	0.908175456562553	0.820276497695853	0.859276327018263	0.862604540023895	0.878989588667008	0.892046424304489	0.883768561187916	0.949820788530466	0.838880355009387	0.877282812766684	0.85279057859703	0.865164703874381	0.992916880013654	0.952295613585936	0.921232292200034	0.769926608636286	0.890595664789213	0.888803550093873	0.881037719747397	0.921402969790067	0.84220856801502	0.831029185867896	0.868748933265062	0.887779484553678	0.844171360300393	0.937702679638164	0.901348352961256	0.723502304147465	0.8931558286397	0.841013824884793	0.891875746714456	0.968595323434033	0.895033282130056	0.752688172043011	0.783239460658815	0.978323946065882	0.834954770438641	0.94589520395972	0.893241167434716
DLT0.LOT07	0.380952380952381	0.418672128349548	0.724099675712579	0	0.184502474825055	0.647380098993002	0.363201911589008	0.525857654889913	0.886584741423451	0.874637310121181	0.838112305854241	0.83589349718382	0.841952551629971	0.855692097627581	0.894094555384878	0.934971838197645	0.833162655743301	0.838795016214371	0.859873698583376	0.783324799453832	0.770865335381464	0.839648404164533	0.83521078682369	0.604454685099846	0.480286738351254	0.624594640723673	0.764635603345281	0.497866530124595	0.722904932582352	0.447431302270012	0.478323946065882	0.582266598395631	0.958952039597201	0.790749274620242	0.672640382317802	0.829834442737669	0.837600273084144	0.993087557603687	0.948796722990271	0.918074756784434	0.781703362348524	0.868236900494965	0.868322239289981	0.868236900494965	0.906041986687148	0.608806963645673	0.797149684246458	0.853131933777095	0.847584912101041	0.877709506741765	0.942396313364055	0.92020822665984	0.789810547875064	0.903567161631678	0.79057859703021	0.908431472947602	0.96910735620413	0.89247311827957	0.825482164191842	0.799795186891961	0.973459634749957	0.807902372418501	0.94094555384878	0.898361495135689
DLT0.LOT06	0.362177846048814	0.408772828127667	0.708397337429596	0.184502474825055	0	0.635176651305684	0.348352961256187	0.546082949308756	0.896057347670251	0.891022358764294	0.857228195937873	0.8742106161461	0.853387950162144	0.875405359276327	0.907492746202424	0.950588837685612	0.844086021505376	0.84852363884622	0.866530124594641	0.791175968595323	0.770779996586448	0.848182283666155	0.84152585765489	0.606417477385219	0.482590885816692	0.622973203618365	0.772913466461854	0.481908175456563	0.719747397166752	0.458354668032087	0.480542754736303	0.57663423792456	0.960402799112477	0.820703191670934	0.681515616999488	0.84647550776583	0.850913125106673	0.991807475678443	0.954173067076293	0.920464243044888	0.788871821129886	0.879586960232122	0.876770779996586	0.871223758320533	0.916538658474142	0.618023553507424	0.800307219662058	0.870797064345451	0.809267793138761	0.84468339307049	0.934715821812596	0.896142686465267	0.721198156682028	0.862775217613927	0.753968253968254	0.879330943847073	0.96594982078853	0.891363713944359	0.780593958013313	0.772401433691756	0.975678443420379	0.81199863457928	0.927035330261137	0.873613244580987
DLT0.LOT01	0.739887352790579	0.748847926267281	0.737753882915173	0.647380098993002	0.635176651305684	0	0.715821812596006	0.428912783751493	0.871991807475678	0.842976617170166	0.714029697900666	0.709762758149855	0.80568356374808	0.810121181088923	0.862348523638846	0.930960914831883	0.822665983956307	0.790407919440178	0.82147124082608	0.729390681003584	0.757125789383854	0.821385902031063	0.799027137736815	0.738521932070319	0.798344427376685	0.813961426864653	0.718808670421574	0.750810718552654	0.768817204301075	0.782215395118621	0.798088410991637	0.77931387608807	0.95852534562212	0.796552312681345	0.790237241850145	0.822922000341355	0.835125448028674	0.991551459293395	0.943335040109234	0.914831882573818	0.565454855777436	0.804574159412869	0.800307219662058	0.789639870285032	0.859617682198327	0.663082437275986	0.722990271377368	0.753712237583205	0.763867554190135	0.863543266769073	0.937190646868066	0.888206178528759	0.757125789383854	0.852107868236901	0.690305512886158	0.864567332309268	0.966376514763612	0.905359276327018	0.810803891449053	0.789127837514934	0.971582181259601	0.829749103942652	0.921658986175115	0.910138248847926
DLT0.LOT04	0.268390510325994	0.314388120839734	0.808585082778631	0.363201911589008	0.348352961256187	0.715821812596006	0	0.608636286055641	0.930363543266769	0.929851510496672	0.909199522102748	0.929936849291688	0.877965523126813	0.919269499914661	0.945639187574671	0.966888547533709	0.869602321215224	0.906298003072197	0.906468680662229	0.843488649940263	0.822068612391193	0.879416282642089	0.872930534220857	0.652671104284008	0.373698583376003	0.628178870114354	0.803891449052739	0.487113841952552	0.736644478579962	0.351851851851852	0.376002730841441	0.595664789213176	0.964413722478239	0.852193207031917	0.693036354326677	0.874551971326165	0.876002730841441	0.993343573988735	0.960402799112477	0.930448882061785	0.825140809011777	0.923280423280423	0.923621778460488	0.917648062809353	0.941457586618877	0.662826420890937	0.853729305342209	0.916623997269159	0.80500085338795	0.856374807987711	0.937702679638164	0.906980713432326	0.823860727086534	0.91952551629971	0.78426352619901	0.880355009387267	0.970814132104455	0.940433521078682	0.893070489844683	0.839477726574501	0.976446492575525	0.839733742959549	0.954770438641406	0.942908346134153
DLT0.LOT10	0.617255504352278	0.6352619901007	0.679808841099164	0.525857654889913	0.546082949308756	0.428912783751493	0.608636286055641	0	0.875320020481311	0.848267622461171	0.773937532002048	0.672213688342721	0.823690049496501	0.812339989759345	0.859190988223246	0.894094555384878	0.76352619901007	0.757552483358935	0.784860897764124	0.714285714285714	0.73084144051886	0.776924389827616	0.745519713261649	0.584741423451101	0.64652671104284	0.632189793480116	0.68552654036525	0.608038914490527	0.669824202082267	0.640382317801673	0.647977470558116	0.605905444615122	0.949650110940434	0.756699095408773	0.639016897081413	0.789469192694999	0.79057859703021	0.992063492063492	0.929936849291688	0.896996074415429	0.542925413893156	0.829834442737669	0.833674688513398	0.82326335552142	0.857142857142857	0.519542584058713	0.7357910906298	0.771292029356546	0.855094726062468	0.872503840245776	0.945127154804574	0.909711554872845	0.80320873869261	0.901604369346305	0.786396996074415	0.893582522614781	0.964755077658303	0.912613073903397	0.823604710701485	0.789639870285032	0.970046082949309	0.817033623485236	0.932326335552142	0.903823178016726
MVT0.LOT05	0.94205495818399	0.946663253114866	0.912613073903397	0.886584741423451	0.896057347670251	0.871991807475678	0.930363543266769	0.875320020481311	0	0.177077999658645	0.676309950503499	0.649428230073391	0.706093189964158	0.585168117426182	0.452124935995904	0.455453149001536	0.887523468168629	0.920976275814986	0.90058030380611	0.875490698071343	0.902031063321386	0.893838538999829	0.864567332309268	0.868919610855095	0.888547533708824	0.945468509984639	0.891193036354327	0.926267281105991	0.91952551629971	0.936934630483018	0.936166581327872	0.902031063321386	0.954343744666325	0.526284348864994	0.74347158218126	0.539597200887523	0.508021846731524	0.993770267963816	0.864823348694316	0.947345963474996	0.917904079194402	0.708824031404677	0.729817374978665	0.7294760197986	0.941542925413893	0.920634920634921	0.918501450759515	0.927547363031234	0.959037378392217	0.932838368322239	0.970302099334357	0.954855777436423	0.925328554360812	0.938300051203277	0.92515787677078	0.942481652159072	0.977214541730671	0.960146782727428	0.922512374125277	0.913551800648575	0.975507765830346	0.943847072879331	0.976617170165557	0.958696023212152
MVT0.LOT01	0.947943335040109	0.947687318655061	0.905871309097116	0.874637310121181	0.891022358764294	0.842976617170166	0.929851510496672	0.848267622461171	0.177077999658645	0	0.660692951015532	0.626216077828981	0.752773510838027	0.591653865847414	0.484041645331968	0.511179382147124	0.882488479262673	0.898446833930705	0.885304659498208	0.8742106161461	0.897849462365591	0.892729134664619	0.872418501450759	0.877709506741765	0.942140296979007	0.95468509984639	0.887779484553678	0.925499231950845	0.921488308585083	0.930192865676737	0.94342037890425	0.92268305171531	0.959549411162314	0.570916538658474	0.802867383512545	0.568612391193036	0.553678102065199	0.993940945553849	0.872930534220857	0.949991466120498	0.894691926949991	0.698754053592763	0.705154463218979	0.715224441030893	0.920805598224953	0.905444615122034	0.898873527905786	0.903140467656597	0.962962962962963	0.932497013142174	0.969363372589179	0.953746373101212	0.914661204983786	0.936507936507937	0.930363543266769	0.944615122034477	0.980030721966206	0.953405017921147	0.91705069124424	0.903823178016726	0.97857996245093	0.960914831882574	0.980286738351254	0.959037378392217
