	DLT0.LOT08	DLT0.LOT05	DLT0.LOT03	DLT0.LOT07	DLT0.LOT06	DLT0.LOT01	DLT0.LOT04	DLT0.LOT10	MVT0.LOT05	MVT0.LOT01	MVT0.LOT06	MVT0.LOT07	MVT0.LOT03	MVT0.LOT09	MVT0.LOT08	MVT0.LOT10	BHT0.LOT01	BHT0.LOT07	BHT0.LOT06	BHT0.LOT03	BHT0.LOT10	BHT0.LOT05	BHT0.LOT04	BHT0.LOT08	VHT0.LOT02	VHT0.LOT10	VHT0.LOT03	VHT0.LOT01	VHT0.LOT08	VHT0.LOT06	VHT0.LOT07	VHT0.LOT04	SFT0.LOT08	SFT0.LOT07	SFT0.LOT06	SFT0.LOT03	SFT0.LOT02	SFT0.LOT05	SFT0.LOT04	SFT0.LOT01	FST0.LOT07	FST0.LOT08	FST0.LOT05	FST0.LOT06	FST0.LOT01	FST0.LOT03	FST0.LOT10	FST0.LOT02	FCT0.LOT06	FCT0.LOT10	FCT0.LOT05	FCT0.LOT03	FCT0.LOT08	FCT0.LOT02	FCT0.LOT07	FCT0.LOT01	CDT0.LOT10	CDT0.LOT08	CDT0.LOT05	CDT0.LOT04	CDT0.LOT06	CDT0.LOT09	CDT0.LOT07	CDT0.LOT02
DLT0.LOT08	0	0.378955233327313	0.311093902557071	0.389637675414255	0.328723360174583	0.396991075735649	0.36292369288607	0.387823139217898	0.559423157706193	0.633772894040874	0.587805877890024	0.61864308322875	0.591863670943275	0.648091675937164	0.634157217671223	0.681368106810379	0.667908220228918	0.649716040639555	0.638951462108691	0.639136285748481	0.579849038804999	0.611923182886314	0.575134200313717	0.623948026050081	0.636721113549355	0.677104035747864	0.551760959683495	0.571110085528617	0.581919117503243	0.565784183209804	0.56349945354597	0.565756491055017	0.72251954621802	0.703335981546352	0.675769672420848	0.711037603756277	0.71409587516649	0.798759669288958	0.785620793117852	0.713357711399823	0.603951172810664	0.650562228277738	0.647274086146252	0.650961939950245	0.64916682269238	0.572341019365366	0.531255850473766	0.62122105553544	0.660862305254176	0.59207311353091	0.629860241830006	0.598439847737717	0.551180823992022	0.599897702043669	0.591805542264208	0.585681359739997	0.662136189417568	0.639564333123823	0.539487903410066	0.5553636567543	0.713045388749208	0.609184290693978	0.654207738997865	0.629202703989079
DLT0.LOT05	0.378955233327313	0	0.37074071380042	0.396427406543891	0.382510079268536	0.425106961466269	0.351016881340771	0.41747490013176	0.545326399415814	0.604334312699914	0.545654884093718	0.611818469479788	0.567988914043008	0.633552027374568	0.626263503156196	0.672480919375232	0.654555576021776	0.623946120127425	0.624616840618335	0.611162348113075	0.617206173125917	0.606431850884591	0.560406938182111	0.620454786264583	0.667084411705433	0.674353271854014	0.583217447558503	0.576612594416587	0.600589391894777	0.602978808449613	0.620460275625446	0.61573999126717	0.686479112547376	0.677426589156174	0.63412109392307	0.654542569216364	0.654815273892486	0.764197876214924	0.741582129508166	0.6751065148695	0.597271734832601	0.604595328821533	0.603686456576942	0.628750825823042	0.622753696902372	0.56727772831945	0.528467919990368	0.598730797450615	0.600692082299942	0.54904191092834	0.606701662437864	0.584823577407577	0.537082752948873	0.541749474857789	0.572856751775396	0.568275364962301	0.61857164239287	0.586755294699996	0.576988446131912	0.556095873272808	0.674066704941391	0.573772164189996	0.622794996561147	0.605511216855823
DLT0.LOT03	0.311093902557071	0.37074071380042	0	0.396558402273874	0.348965346352674	0.380951319934803	0.368333017759089	0.405326151921991	0.571028846404027	0.59816582570404	0.545221000981071	0.59981083886476	0.557638651509441	0.621505520270409	0.598884303073349	0.676865051302093	0.656036829322888	0.626627404497052	0.617763570782328	0.610689586260131	0.576782516511739	0.585794434884352	0.561137671434817	0.595355905845762	0.643792415915084	0.683701055673875	0.580506701564204	0.568468383563818	0.589414200226427	0.565212508717986	0.600719172654269	0.599071973462306	0.721491481706225	0.68775578410545	0.678533880912479	0.670501765831374	0.684611339241806	0.782738776580038	0.738756450608244	0.692649128178367	0.588679804084694	0.592976619892603	0.594986699632446	0.620541771383754	0.632181684922024	0.569148582305809	0.563405863774718	0.576330087571645	0.65464602742573	0.60813048965636	0.634845404838275	0.614261980726723	0.549888244790529	0.613491028213299	0.582558532146357	0.599504936094272	0.664662461930962	0.62241078939396	0.544624070837102	0.550960535286187	0.700135888898375	0.616373208492688	0.666275307256273	0.646762197306645
DLT0.LOT07	0.389637675414255	0.396427406543891	0.396558402273874	0	0.24980054115298	0.368015312752432	0.288809235853678	0.309449270891613	0.529237761054	0.597098671287587	0.536046060115309	0.550797389063938	0.528779792879972	0.616254476893418	0.582185869190626	0.659199814669702	0.65346769404179	0.616689002128763	0.619821239585772	0.614532627762449	0.595708637664356	0.584001543532859	0.53520703813521	0.610348108029048	0.651386010309742	0.665333157555676	0.567870844766044	0.596223863455404	0.584776885993989	0.568456180909812	0.603776740369678	0.592182523439897	0.700794890795042	0.669991808670398	0.625493374841677	0.650534870476689	0.648827145897375	0.774149851794838	0.732082695817431	0.665924773053652	0.550250242444843	0.579715057284478	0.585824478522882	0.602768641590795	0.605747818236533	0.534992851492478	0.518612084965972	0.541012692189522	0.693651306722602	0.620572931764666	0.608998359952707	0.597268378265349	0.528723417086235	0.537663258799676	0.585752650406901	0.584167073961872	0.652779676522816	0.604345851316486	0.524969651614114	0.573342039236605	0.680518971666195	0.592977616607773	0.642759151600591	0.641037328614194
DLT0.LOT06	0.328723360174583	0.382510079268536	0.348965346352674	0.24980054115298	0	0.33080888913978	0.283840909028197	0.319782230682548	0.54090555568605	0.606813436104584	0.547861721818576	0.560159326419907	0.562515420879508	0.631369662139339	0.599852041400804	0.687390201791673	0.652332711222095	0.598596307316652	0.589892792216391	0.593296237144339	0.532132799657385	0.556924214000177	0.503525639082703	0.552022856990533	0.639443885886641	0.662258166687097	0.519308407985064	0.523627232916565	0.549152829054483	0.539520532703401	0.580735759880351	0.545835836904177	0.71950211151147	0.696845558471446	0.654613313182478	0.684759173137481	0.689760323944711	0.793227212713107	0.776001152710884	0.683217396681383	0.552934353067434	0.610116538950633	0.619673422312898	0.61376494999275	0.609395317945209	0.542532780078598	0.523270749568067	0.545199879858676	0.691061929103002	0.582952332668509	0.611394329436529	0.578852398715225	0.50359912484967	0.556092715403549	0.570400231799342	0.551845861932838	0.670601937635661	0.615011682319362	0.485925891948252	0.520371130415219	0.707874310272659	0.611430697799242	0.638631216204719	0.625635044127897
DLT0.LOT01	0.396991075735649	0.425106961466269	0.380951319934803	0.368015312752432	0.33080888913978	0	0.320381178118645	0.311055069157978	0.549522755704112	0.574076522015003	0.526144635222589	0.540323970755462	0.519221332151365	0.594166899705548	0.582909396008794	0.671075799780237	0.678086639567191	0.603897544366488	0.616590791646108	0.594659302586651	0.58906443754839	0.561929231870046	0.506771957940581	0.575076234222411	0.643399361087243	0.657155511406237	0.538025324277113	0.537048667006083	0.564546214664631	0.560973870822083	0.584836196448365	0.551532228654107	0.712070406508977	0.672892203128499	0.65235125719674	0.680484906043242	0.674808657898368	0.785709696453641	0.761500861625113	0.656511349219521	0.551542160442811	0.582502001554752	0.569005858784163	0.592912152792172	0.612942231904122	0.536174865298663	0.511178394216144	0.529558289082245	0.652785615302648	0.589561436452983	0.629468592827641	0.556478641743989	0.50066207281336	0.524120368661739	0.551319426407136	0.56317375340034	0.665810391787841	0.594830239343509	0.507220182755015	0.53881110817832	0.694179879008424	0.59404323933966	0.627412127326209	0.613413284433476
DLT0.LOT04	0.36292369288607	0.351016881340771	0.368333017759089	0.288809235853678	0.283840909028197	0.320381178118645	0	0.317544449315948	0.500167562001521	0.571067719581935	0.501865313538641	0.52985140054775	0.532714211426242	0.600890404922583	0.570757989318291	0.63868115122199	0.672559484424598	0.624028669717845	0.597561367739209	0.613381627295081	0.59313255729207	0.593217014523506	0.534098425926043	0.588520128698109	0.623116395128162	0.656675521471284	0.533818884643331	0.528091003554283	0.535784465413486	0.551773760829231	0.570271140070356	0.549014821991281	0.708200084149268	0.688201951758754	0.658030798628594	0.682502697282781	0.669088376775502	0.791093647157731	0.761340610255728	0.664357916294537	0.559061019741681	0.594665673806793	0.595289845006137	0.617368117923568	0.61438786349281	0.552500978945994	0.51600116516326	0.558302376093152	0.660778350309812	0.610237618936821	0.640293679586522	0.599649984779057	0.539753520415115	0.546118077059041	0.574537298794981	0.591167746751488	0.677165398959384	0.606381733764027	0.531329420727474	0.555317765555142	0.702082936925265	0.608095439458735	0.666773303787048	0.6500222935817
DLT0.LOT10	0.387823139217898	0.41747490013176	0.405326151921991	0.309449270891613	0.319782230682548	0.311055069157978	0.317544449315948	0	0.524196253658782	0.592496051234691	0.49158920035205	0.53499269362578	0.529163234528229	0.600172117777736	0.577177320887879	0.661952642026091	0.645973578352584	0.610466024612451	0.626458549794774	0.591446422830683	0.590911922527864	0.584252769096803	0.51053752475034	0.575383922121659	0.652052605873176	0.675379826141436	0.568421916455998	0.57085785784889	0.585005167658332	0.568823728670293	0.606073683258045	0.583421743375587	0.69685290158391	0.677601871295682	0.649625519399463	0.668810284683108	0.675892621344056	0.77854908264753	0.760403728617632	0.662528751532311	0.550283077215852	0.596850215192788	0.578234412243402	0.616113268083022	0.600141893176947	0.525237173391296	0.49687324915325	0.540557651106791	0.6796760298716	0.60527972450996	0.633858307245282	0.599771984334942	0.541236591358736	0.552007378912229	0.56956399059277	0.581871599106305	0.639069605235758	0.58111666722283	0.521208842254171	0.545916688734282	0.684192009011223	0.573648220330982	0.617142899093541	0.594526823867159
MVT0.LOT05	0.559423157706193	0.545326399415814	0.571028846404027	0.529237761054	0.54090555568605	0.549522755704112	0.500167562001521	0.524196253658782	0	0.366220854240393	0.331739068420206	0.344252918042179	0.426499745335408	0.407640302928657	0.381873907421569	0.451378242488206	0.692722912833152	0.600157947768307	0.571103044815932	0.592090704953444	0.568043167741458	0.569956722227417	0.536154652969644	0.558489786901649	0.613075427451447	0.580353917214569	0.571419750463433	0.588420932063093	0.57202438448956	0.588858711216171	0.601263529009269	0.59574436374451	0.728527905735708	0.705426582989594	0.660366591377381	0.697060541368769	0.700775628284779	0.784081506097549	0.75356261607113	0.666813117001158	0.608889978793036	0.634930140039719	0.64619741985342	0.62834596716676	0.655090381029442	0.62218523297142	0.570133811066762	0.616784931399344	0.727436972248794	0.670134619581167	0.670409906159536	0.667122148032881	0.607456684078483	0.632493656932924	0.644303550526726	0.662468447585663	0.689964394573963	0.667178338290394	0.644936372700363	0.645458685155809	0.715572776127081	0.672357111193602	0.708837927074361	0.67515670410921
MVT0.LOT01	0.633772894040874	0.604334312699914	0.59816582570404	0.597098671287587	0.606813436104584	0.574076522015003	0.571067719581935	0.592496051234691	0.366220854240393	0	0.339264896970495	0.379627602148552	0.377262160139686	0.339701840701725	0.329533020965459	0.414292520359	0.707960752134748	0.63077043825606	0.651867996623308	0.63829206525338	0.617193271637611	0.621074627323477	0.610719656377022	0.601197150772028	0.628884605606943	0.584571962799023	0.613690129947481	0.601338697445388	0.565972368987515	0.599123956628072	0.64948026597323	0.602980524311211	0.695260315126722	0.686502874372525	0.669008599826038	0.686527523218201	0.636097058329335	0.743757310171268	0.728881384259519	0.648027436218502	0.642595245568475	0.596927502397132	0.607823551812614	0.612942889613754	0.676988343338527	0.678785668352705	0.612069196727907	0.66056477910919	0.712596746687656	0.678701049208184	0.670089225182799	0.671001017112247	0.633530599696218	0.64445309818196	0.649755162350913	0.670282689196338	0.684426236912709	0.644057098129401	0.669999657974843	0.674185045228714	0.710288362324238	0.695755095396993	0.706162584791371	0.683096887784488
