#id	sampleA_R1
ERR619083.M00704:57:000000000-A5HJE:1:1101:13929:2159.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:25560:7577.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:19268:7225.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:15309:8942.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:9801:2802.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:21430:7175.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:15154:4363.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:13923:7405.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:9765:9861.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:17301:5790.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:13422:8482.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:23451:4343.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:16292:4855.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:11757:8057.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:17219:10003.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:24851:8120.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:11415:8545.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:14627:9202.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:21625:5646.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:10506:3528.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:13330:9712.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:13202:5366.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:21545:8993.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:16473:6918.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:6017:7657.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:8618:7968.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:21393:9333.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:4529:8018.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:7899:7821.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:17819:2697.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:18611:9271.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:8713:9024.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:23419:8476.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:25407:9695.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:19591:8248.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:13441:2279.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:15103:8739.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:12160:9641.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:17833:8498.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:12082:6212.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:12824:7742.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:11403:9240.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:19730:6972.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:24867:10128.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:10364:4063.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:22382:8752.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:19292:3651.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:9172:9652.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:15268:4682.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:13125:4068.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:20133:6013.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:15191:9879.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:14007:7411.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:14650:9615.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:13745:6111.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:19180:2685.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:17984:10371.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:13882:5235.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:9541:4714.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:18190:10309.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:19530:10021.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:14872:9570.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:12144:3486.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:10843:5426.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:7742:7305.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:18411:7285.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:11076:3780.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:8932:8553.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:7830:7829.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:12709:5798.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:16576:5455.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:21572:9734.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:13568:6750.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:17168:9087.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:15252:7582.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:10384:9605.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:17121:6817.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:10332:5880.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:19200:3240.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:26179:8771.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:14550:2502.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:13463:7797.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:15520:10247.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:22907:9489.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:17743:5066.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:22905:8987.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:15819:6327.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:8161:6414.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:15043:5694.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:20662:9729.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:13127:5660.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:4371:9884.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:21358:4806.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:15376:3512.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:20114:6035.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:6140:9101.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:6825:7795.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:24785:8679.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:18956:10194.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:25507:9680.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:14160:5878.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:12668:4863.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:22531:7588.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:17981:6086.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:5443:6269.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:13479:5041.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:7332:9598.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:18271:5258.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:7154:6885.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:17623:10010.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:16089:8102.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:9820:7477.1	1
