#observation_name	sampleA_R1	sampleB_R1
Cluster_1	7644	0
Cluster_2	5312	0
Cluster_3	5342	0
Cluster_4	4995	0
Cluster_5	4301	0
Cluster_6	3288	0
Cluster_7	2562	0
Cluster_8	2145	0
Cluster_9	2030	0
Cluster_10	1970	0
Cluster_11	1462	0
Cluster_12	1219	0
Cluster_13	1133	0
Cluster_14	1000	0
Cluster_15	889	0
Cluster_16	712	0
Cluster_17	642	0
Cluster_18	402	0
Cluster_19	183	0
Cluster_20	97	0
Cluster_21	98	0
Cluster_22	104	0
Cluster_23	81	0
Cluster_24	85	0
Cluster_25	76	0
Cluster_26	90	0
Cluster_27	59	0
Cluster_28	88	0
Cluster_29	58	0
Cluster_30	50	0
Cluster_31	42	0
Cluster_32	50	0
Cluster_33	100	0
Cluster_34	42	0
Cluster_35	35	0
Cluster_36	30	0
Cluster_37	109	0
Cluster_38	40	0
Cluster_39	37	0
Cluster_40	25	0
Cluster_41	26	0
Cluster_42	27	0
Cluster_43	90	0
Cluster_44	31	0
Cluster_45	37	0
Cluster_46	21	0
Cluster_47	19	0
Cluster_48	21	0
Cluster_49	19	0
Cluster_50	20	0
Cluster_51	27	0
Cluster_52	33	0
Cluster_53	19	0
Cluster_54	30	0
Cluster_55	24	0
Cluster_56	17	0
Cluster_57	19	0
Cluster_58	18	0
Cluster_59	123	0
Cluster_60	22	0
Cluster_61	19	0
Cluster_62	15	0
Cluster_63	72	0
Cluster_64	28	0
Cluster_65	59	0
Cluster_66	15	0
Cluster_67	16	0
Cluster_68	17	0
Cluster_69	21	0
Cluster_70	15	0
Cluster_71	17	0
Cluster_72	17	0
Cluster_73	28	0
Cluster_74	13	0
Cluster_75	19	0
Cluster_76	13	0
Cluster_77	14	0
Cluster_78	70	0
Cluster_79	15	0
Cluster_80	24	0
Cluster_81	14	0
Cluster_82	18	0
Cluster_83	12	0
Cluster_84	57	0
Cluster_85	18	0
Cluster_86	12	0
Cluster_87	33	0
Cluster_88	22	0
Cluster_89	15	0
Cluster_90	12	0
Cluster_91	11	0
Cluster_92	11	0
Cluster_93	15	0
Cluster_94	30	0
Cluster_95	11	0
Cluster_96	37	0
Cluster_97	12	0
Cluster_98	12	0
Cluster_99	10	0
Cluster_100	10	0
Cluster_101	11	0
Cluster_102	10	0
Cluster_103	13	0
Cluster_104	13	0
Cluster_105	16	0
Cluster_106	10	0
Cluster_107	12	0
Cluster_108	11	0
Cluster_109	10	0
Cluster_110	49	0
Cluster_111	11	0
Cluster_112	10	0
Cluster_113	9	0
Cluster_114	12	0
Cluster_115	10	0
Cluster_116	9	0
Cluster_117	16	0
Cluster_118	10	0
Cluster_119	10	0
Cluster_120	9	0
Cluster_121	22	0
Cluster_122	11	0
Cluster_123	10	0
Cluster_124	57	0
Cluster_125	31	0
Cluster_126	15	0
Cluster_127	30	0
Cluster_128	19	0
Cluster_129	10	0
Cluster_130	9	0
Cluster_131	9	0
Cluster_132	11	0
Cluster_133	11	0
Cluster_134	9	0
Cluster_135	18	0
Cluster_136	11	0
Cluster_137	29	0
Cluster_138	9	0
Cluster_139	9	0
Cluster_140	11	0
Cluster_141	19	0
Cluster_142	18	0
Cluster_143	10	0
Cluster_144	13	0
Cluster_145	20	0
Cluster_146	16	0
Cluster_147	20	0
Cluster_148	11	0
Cluster_149	8	0
Cluster_150	20	0
Cluster_151	10	0
Cluster_152	18	0
Cluster_153	10	0
Cluster_154	18	0
Cluster_155	31	0
Cluster_156	15	0
Cluster_157	9	0
Cluster_158	8	0
Cluster_159	8	0
Cluster_160	8	0
Cluster_161	9	0
Cluster_162	22	0
Cluster_163	26	0
Cluster_164	8	0
Cluster_165	16	0
Cluster_166	14	0
Cluster_167	10	0
Cluster_168	11	0
Cluster_169	11	0
Cluster_170	9	0
Cluster_171	8	0
Cluster_172	9	0
Cluster_173	33	0
Cluster_174	51	0
Cluster_175	30	0
Cluster_176	9	0
Cluster_177	14	0
Cluster_178	24	0
Cluster_179	12	0
Cluster_180	8	0
Cluster_181	9	0
Cluster_182	8	0
Cluster_183	8	0
Cluster_184	8	0
Cluster_185	7	0
Cluster_186	11	0
Cluster_187	9	0
Cluster_188	8	0
Cluster_189	8	0
Cluster_190	8	0
Cluster_191	9	0
Cluster_192	13	0
Cluster_193	7	0
Cluster_194	8	0
Cluster_195	13	0
Cluster_196	9	0
Cluster_197	7	0
Cluster_198	7	0
Cluster_199	13	0
Cluster_200	13	0
Cluster_201	10	0
Cluster_202	7	0
Cluster_203	9	0
Cluster_204	9	0
Cluster_205	8	0
Cluster_206	13	0
Cluster_207	9	0
Cluster_208	8	0
Cluster_209	11	0
Cluster_210	27	0
Cluster_211	7	0
Cluster_212	8	0
Cluster_213	7	0
Cluster_214	7	0
Cluster_215	9	0
Cluster_216	23	0
Cluster_217	7	0
Cluster_218	7	0
Cluster_219	7	0
Cluster_220	52	0
Cluster_221	14	0
Cluster_222	30	0
Cluster_223	8	0
Cluster_224	11	0
Cluster_225	8	0
Cluster_226	10	0
Cluster_227	7	0
Cluster_228	12	0
Cluster_229	13	0
Cluster_230	14	0
Cluster_231	17	0
Cluster_232	7	0
Cluster_233	8	0
Cluster_234	10	0
Cluster_235	19	0
Cluster_236	15	0
Cluster_237	17	0
Cluster_238	17	0
Cluster_239	68	0
Cluster_240	6	0
Cluster_241	6	0
Cluster_242	9	0
Cluster_243	7	0
Cluster_244	7	0
Cluster_245	6	0
Cluster_246	7	0
Cluster_247	6	0
Cluster_248	6	0
Cluster_249	10	0
Cluster_250	10	0
Cluster_251	6	0
Cluster_252	7	0
Cluster_253	6	0
Cluster_254	6	0
Cluster_255	7	0
Cluster_256	6	0
Cluster_257	64	0
Cluster_258	6	0
Cluster_259	6	0
Cluster_260	25	0
Cluster_261	27	0
Cluster_262	28	0
Cluster_263	6	0
Cluster_264	7	0
Cluster_265	9	0
Cluster_266	7	0
Cluster_267	7	0
Cluster_268	6	0
Cluster_269	10	0
Cluster_270	6	0
Cluster_271	6	0
Cluster_272	24	0
Cluster_273	7	0
Cluster_274	36	0
Cluster_275	9	0
Cluster_276	12	0
Cluster_277	9	0
Cluster_278	9	0
Cluster_279	10	0
Cluster_280	15	0
Cluster_281	8	0
Cluster_282	6	0
Cluster_283	6	0
Cluster_284	32	0
Cluster_285	7	0
Cluster_286	6	0
Cluster_287	12	0
Cluster_288	7	0
Cluster_289	6	0
Cluster_290	9	0
Cluster_291	6	0
Cluster_292	7	0
Cluster_293	6	0
Cluster_294	6	0
Cluster_295	9	0
Cluster_296	6	0
Cluster_297	8	0
Cluster_298	17	0
Cluster_299	6	0
Cluster_300	6	0
Cluster_301	8	0
Cluster_302	7	0
Cluster_303	5	0
Cluster_304	14	0
Cluster_305	5	0
Cluster_306	8	0
Cluster_307	8	0
Cluster_308	16	0
Cluster_309	9	0
Cluster_310	31	0
Cluster_311	11	0
Cluster_312	6	0
Cluster_313	13	0
Cluster_314	6	0
Cluster_315	5	0
Cluster_316	9	0
Cluster_317	6	0
Cluster_318	17	0
Cluster_319	6	0
Cluster_320	19	0
Cluster_321	5	0
Cluster_322	5	0
Cluster_323	9	0
Cluster_324	5	0
Cluster_325	6	0
Cluster_326	16	0
Cluster_327	5	0
Cluster_328	5	0
Cluster_329	5	0
Cluster_330	5	0
Cluster_331	10	0
Cluster_332	6	0
Cluster_333	7	0
Cluster_334	5	0
Cluster_335	5	0
Cluster_336	5	0
Cluster_337	8	0
Cluster_338	6	0
Cluster_339	25	0
Cluster_340	5	0
Cluster_341	38	0
Cluster_342	8	0
Cluster_343	5	0
Cluster_344	5	0
Cluster_345	5	0
Cluster_346	6	0
Cluster_347	7	0
Cluster_348	7	0
Cluster_349	15	0
Cluster_350	23	0
Cluster_351	5	0
Cluster_352	5	0
Cluster_353	5	0
Cluster_354	7	0
Cluster_355	5	0
Cluster_356	5	0
Cluster_357	5	0
Cluster_358	10	0
Cluster_359	5	0
Cluster_360	5	0
Cluster_361	7	0
Cluster_362	6	0
Cluster_363	7	0
Cluster_364	5	0
Cluster_365	7	0
Cluster_366	8	0
Cluster_367	13	0
Cluster_368	9	0
Cluster_369	5	0
Cluster_370	5	0
Cluster_371	11	0
Cluster_372	13	0
Cluster_373	5	0
Cluster_374	6	0
Cluster_375	20	0
Cluster_376	5	0
Cluster_377	17	0
Cluster_378	5	0
