#seed_id	observation_name	observation_sum	sampleA_R1	sampleB_R1
ERR619083.M00704:57:000000000-A5HJE:1:1101:17819:2697.1	Cluster_1	7644	7644	0
ERR619083.M00704:57:000000000-A5HJE:1:1101:12000:2130.1	Cluster_2	5312	5312	0
ERR619083.M00704:57:000000000-A5HJE:1:1101:14982:2858.1	Cluster_3	5342	5342	0
ERR619083.M00704:57:000000000-A5HJE:1:1101:18137:2514.1	Cluster_4	4995	4995	0
ERR619083.M00704:57:000000000-A5HJE:1:1101:12017:2126.1	Cluster_5	4301	4301	0
ERR619083.M00704:57:000000000-A5HJE:1:1101:9726:3180.1	Cluster_6	3288	3288	0
ERR619083.M00704:57:000000000-A5HJE:1:1101:17414:1598.1	Cluster_7	2562	2562	0
ERR619083.M00704:57:000000000-A5HJE:1:1101:17587:4049.1	Cluster_8	2145	2145	0
ERR619083.M00704:57:000000000-A5HJE:1:1101:19000:1814.1	Cluster_9	2030	2030	0
ERR619083.M00704:57:000000000-A5HJE:1:1101:16808:2898.1	Cluster_10	1970	1970	0
ERR619083.M00704:57:000000000-A5HJE:1:1101:11076:3780.1	Cluster_11	1462	1462	0
ERR619083.M00704:57:000000000-A5HJE:1:1101:13834:5524.1	Cluster_12	1219	1219	0
ERR619083.M00704:57:000000000-A5HJE:1:1101:17125:4154.1	Cluster_13	1133	1133	0
ERR619083.M00704:57:000000000-A5HJE:1:1101:16691:8627.1	Cluster_14	1000	1000	0
ERR619083.M00704:57:000000000-A5HJE:1:1101:19361:8993.1	Cluster_15	889	889	0
ERR619083.M00704:57:000000000-A5HJE:1:1101:22692:10677.1	Cluster_16	712	712	0
ERR619083.M00704:57:000000000-A5HJE:1:1101:14865:5961.1	Cluster_17	642	642	0
ERR619083.M00704:57:000000000-A5HJE:1:1101:19687:6450.1	Cluster_18	402	402	0
ERR619083.M00704:57:000000000-A5HJE:1:1101:22307:10524.1	Cluster_19	183	183	0
ERR619083.M00704:57:000000000-A5HJE:1:2101:17127:19907.1	Cluster_20	97	97	0
ERR619083.M00704:57:000000000-A5HJE:1:1102:19777:11970.1	Cluster_21	98	98	0
ERR619083.M00704:57:000000000-A5HJE:1:1101:23373:20024.1	Cluster_22	104	104	0
ERR619083.M00704:57:000000000-A5HJE:1:1101:15732:15522.1	Cluster_23	81	81	0
ERR619083.M00704:57:000000000-A5HJE:1:1101:13867:2303.1	Cluster_24	85	85	0
ERR619083.M00704:57:000000000-A5HJE:1:1101:22102:8029.1	Cluster_25	76	76	0
ERR619083.M00704:57:000000000-A5HJE:1:1104:13361:27334.1	Cluster_26	90	90	0
ERR619083.M00704:57:000000000-A5HJE:1:1103:26425:13291.1	Cluster_27	59	59	0
ERR619083.M00704:57:000000000-A5HJE:1:1102:14693:6578.1	Cluster_28	88	88	0
ERR619083.M00704:57:000000000-A5HJE:1:1101:25665:8233.1	Cluster_29	58	58	0
ERR619083.M00704:57:000000000-A5HJE:1:1102:21790:3059.1	Cluster_30	50	50	0
ERR619083.M00704:57:000000000-A5HJE:1:1102:8370:13352.1	Cluster_31	42	42	0
ERR619083.M00704:57:000000000-A5HJE:1:2101:9266:8923.1	Cluster_32	50	50	0
ERR619083.M00704:57:000000000-A5HJE:1:1101:23914:17048.1	Cluster_33	100	100	0
ERR619083.M00704:57:000000000-A5HJE:1:1103:11945:25159.1	Cluster_34	42	42	0
ERR619083.M00704:57:000000000-A5HJE:1:1102:16895:18455.1	Cluster_35	35	35	0
ERR619083.M00704:57:000000000-A5HJE:1:1103:21328:10113.1	Cluster_36	30	30	0
ERR619083.M00704:57:000000000-A5HJE:1:1101:14158:23613.1	Cluster_37	109	109	0
ERR619083.M00704:57:000000000-A5HJE:1:1101:9681:9927.1	Cluster_38	40	40	0
ERR619083.M00704:57:000000000-A5HJE:1:1101:10312:5888.1	Cluster_39	37	37	0
ERR619083.M00704:57:000000000-A5HJE:1:2106:8488:15567.1	Cluster_40	25	25	0
