level1	level2	level3	Name	gene_family
Metabolism	Amino acid metabolism; Carbohydrate metabolism; Lipid metabolism; Metabolism of cofactors and vitamins; Xenobiotics biodegradation and metabolism	Tyrosine metabolism; Glycolysis / Gluconeogenesis; Pyruvate metabolism; Fatty acid degradation; Retinol metabolism; Chloroalkane and chloroalkene degradation; Drug metabolism - cytochrome P450; Metabolism of xenobiotics by cytochrome P450; Naphthalene degradation	alcohol dehydrogenase [EC:1.1.1.1]	K00001
BRITE	signaling and cellular processes	Exosome	alcohol dehydrogenase (NADP+) [EC:1.1.1.2]	K00002
Human Diseases	Cancer: overview	Chemical carcinogenesis - reactive oxygen species	alcohol dehydrogenase (NADP+) [EC:1.1.1.2]	K00002
Metabolism	Carbohydrate metabolism; Lipid metabolism; Xenobiotics biodegradation and metabolism	Ascorbate and aldarate metabolism; Glycolysis / Gluconeogenesis; Pentose and glucuronate interconversions; Pyruvate metabolism; Glycerolipid metabolism; Caprolactam degradation	alcohol dehydrogenase (NADP+) [EC:1.1.1.2]	K00002
Metabolism	Amino acid metabolism	Cysteine and methionine metabolism; Glycine, serine and threonine metabolism; Lysine biosynthesis	homoserine dehydrogenase [EC:1.1.1.3]	K00003
Metabolism	Carbohydrate metabolism	Butanoate metabolism	(R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.4 1.1.1.- 1.1.1.303]	K00004
Metabolism	Carbohydrate metabolism; Lipid metabolism	Propanoate metabolism; Glycerolipid metabolism	glycerol dehydrogenase [EC:1.1.1.6]	K00005
Environmental Information Processing	Signal transduction	MAPK signaling pathway - yeast	glycerol-3-phosphate dehydrogenase (NAD+) [EC:1.1.1.8]	K00006
Metabolism	Lipid metabolism	Glycerophospholipid metabolism	glycerol-3-phosphate dehydrogenase (NAD+) [EC:1.1.1.8]	K00006
Metabolism	Carbohydrate metabolism	Fructose and mannose metabolism; Pentose and glucuronate interconversions	D-arabinitol 4-dehydrogenase [EC:1.1.1.11]	K00007
Metabolism	Carbohydrate metabolism	Fructose and mannose metabolism; Pentose and glucuronate interconversions	L-iditol 2-dehydrogenase [EC:1.1.1.14]	K00008
Metabolism	Carbohydrate metabolism	Fructose and mannose metabolism	mannitol-1-phosphate 5-dehydrogenase [EC:1.1.1.17]	K00009
Metabolism	Biosynthesis of other secondary metabolites; Carbohydrate metabolism	Streptomycin biosynthesis; Inositol phosphate metabolism	myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]	K00010
Metabolism	Carbohydrate metabolism; Lipid metabolism; Metabolism of cofactors and vitamins	Fructose and mannose metabolism; Galactose metabolism; Pentose and glucuronate interconversions; Glycerolipid metabolism; Folate biosynthesis	aldehyde reductase [EC:1.1.1.21]	K00011
Metabolism	Carbohydrate metabolism; Glycan biosynthesis and metabolism	Amino sugar and nucleotide sugar metabolism; Ascorbate and aldarate metabolism; Pentose and glucuronate interconversions; O-Antigen nucleotide sugar biosynthesis	UDPglucose 6-dehydrogenase [EC:1.1.1.22]	K00012
Metabolism	Amino acid metabolism	Histidine metabolism	histidinol dehydrogenase [EC:1.1.1.23]	K00013
Metabolism	Amino acid metabolism; Biosynthesis of other secondary metabolites	Phenylalanine, tyrosine and tryptophan biosynthesis; Biosynthesis of various plant secondary metabolites	shikimate dehydrogenase [EC:1.1.1.25]	K00014
Metabolism	Carbohydrate metabolism	Glyoxylate and dicarboxylate metabolism	glyoxylate reductase [EC:1.1.1.26]	K00015
BRITE	signaling and cellular processes	Exosome	L-lactate dehydrogenase [EC:1.1.1.27]	K00016
Environmental Information Processing	Signal transduction	HIF-1 signaling pathway	L-lactate dehydrogenase [EC:1.1.1.27]	K00016
Human Diseases	Cancer: overview	Central carbon metabolism in cancer	L-lactate dehydrogenase [EC:1.1.1.27]	K00016
Metabolism	Amino acid metabolism; Carbohydrate metabolism	Cysteine and methionine metabolism; Glycolysis / Gluconeogenesis; Propanoate metabolism; Pyruvate metabolism	L-lactate dehydrogenase [EC:1.1.1.27]	K00016
Organismal Systems	Endocrine system	Glucagon signaling pathway	L-lactate dehydrogenase [EC:1.1.1.27]	K00016
Metabolism	Amino acid metabolism; Carbohydrate metabolism; Energy metabolism	Glycine, serine and threonine metabolism; Glyoxylate and dicarboxylate metabolism; Methane metabolism	glycerate dehydrogenase [EC:1.1.1.29]	K00018
Metabolism	Carbohydrate metabolism	Butanoate metabolism	3-hydroxybutyrate dehydrogenase [EC:1.1.1.30]	K00019
Metabolism	Amino acid metabolism	Valine, leucine and isoleucine degradation	3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]	K00020
Environmental Information Processing	Signal transduction	AMPK signaling pathway	hydroxymethylglutaryl-CoA reductase (NADPH) [EC:1.1.1.34]	K00021
Metabolism	Metabolism of terpenoids and polyketides	Terpenoid backbone biosynthesis	hydroxymethylglutaryl-CoA reductase (NADPH) [EC:1.1.1.34]	K00021
Organismal Systems	Digestive system	Bile secretion	hydroxymethylglutaryl-CoA reductase (NADPH) [EC:1.1.1.34]	K00021
Metabolism	Amino acid metabolism; Carbohydrate metabolism; Lipid metabolism; Metabolism of terpenoids and polyketides; Xenobiotics biodegradation and metabolism	Lysine degradation; Tryptophan metabolism; Valine, leucine and isoleucine degradation; Butanoate metabolism; Fatty acid degradation; Fatty acid elongation; Pinene, camphor and geraniol degradation; Caprolactam degradation	3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35]	K00022
Metabolism	Carbohydrate metabolism	Butanoate metabolism; Glyoxylate and dicarboxylate metabolism	acetoacetyl-CoA reductase [EC:1.1.1.36]	K00023
Metabolism	Amino acid metabolism; Carbohydrate metabolism; Energy metabolism	Cysteine and methionine metabolism; Citrate cycle (TCA cycle); Glyoxylate and dicarboxylate metabolism; Pyruvate metabolism; Carbon fixation in photosynthetic organisms; Carbon fixation pathways in prokaryotes; Methane metabolism	malate dehydrogenase [EC:1.1.1.37]	K00024
Metabolism	Amino acid metabolism; Carbohydrate metabolism; Energy metabolism	Cysteine and methionine metabolism; Citrate cycle (TCA cycle); Glyoxylate and dicarboxylate metabolism; Pyruvate metabolism; Carbon fixation in photosynthetic organisms	malate dehydrogenase [EC:1.1.1.37]	K00025
Organismal Systems	Excretory system	Proximal tubule bicarbonate reclamation	malate dehydrogenase [EC:1.1.1.37]	K00025
Metabolism	Amino acid metabolism; Carbohydrate metabolism; Energy metabolism	Cysteine and methionine metabolism; Citrate cycle (TCA cycle); Glyoxylate and dicarboxylate metabolism; Pyruvate metabolism; Carbon fixation in photosynthetic organisms	malate dehydrogenase [EC:1.1.1.37]	K00026
Environmental Information Processing	Signal transduction	Two-component system	malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38]	K00027
Metabolism	Carbohydrate metabolism	Pyruvate metabolism	malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38]	K00027
Metabolism	Carbohydrate metabolism; Energy metabolism	Pyruvate metabolism; Carbon fixation in photosynthetic organisms	malate dehydrogenase (decarboxylating) [EC:1.1.1.39]	K00028
Metabolism	Carbohydrate metabolism; Energy metabolism	Pyruvate metabolism; Carbon fixation in photosynthetic organisms	malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]	K00029
Organismal Systems	Endocrine system	PPAR signaling pathway	malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]	K00029
