sequence	16S_rRNA_Count	metadata_NSTI
Cluster_1	1	0.030822000000000002
Cluster_10	1	0.112249
Cluster_11	1	0.045592
Cluster_12	1	1.6e-05
Cluster_2	4	7.000000000000001e-06
Cluster_3	1	0.200207
Cluster_4	2	0.790411
Cluster_5	1	0.854059
Cluster_6	1	0.06408
Cluster_7	1	0.013637
