#rdp_tax_and_bootstrap	blast_subject	blast_evalue	blast_len	blast_perc_query_coverage	blast_perc_identity	blast_taxonomy	seed_id	observation_name	observation_sum	sampleA_R1	sampleB_R1
Bacteria;(1.0);Firmicutes;(1.0);Bacilli;(1.0);Bacillales;(1.0);Staphylococcaceae;(1.0);Staphylococcus;(1.0);	KC001229.1.1327	0.0	386	100.0	100.0	Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;unidentified marine bacterioplankton	ERR619083.M00704:57:000000000-A5HJE:1:1101:12000:2130.1	Cluster_1	116269	16269	100000
Bacteria;(1.0);Firmicutes;(1.0);Bacilli;(1.0);Lactobacillales;(1.0);Streptococcaceae;(1.0);Streptococcus;(1.0);	CP003686.183227.184786	0.0	385	100.0	100.0	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus mutans GS-5	ERR619083.M00704:57:000000000-A5HJE:1:1101:14982:2858.1	Cluster_2	15924	5924	10000
Bacteria;(1.0);Firmicutes;(1.0);Clostridia;(1.0);Clostridiales;(1.0);Clostridiaceae 1;(1.0);Clostridium sensu stricto;(1.0);	KC337216.1.1425	0.0	385	100.0	100.0	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae 1;Clostridium sensu stricto 1;uncultured Clostridium sp.	ERR619083.M00704:57:000000000-A5HJE:1:1101:18137:2514.1	Cluster_3	6159	5159	1000
Bacteria;(1.0);"Bacteroidetes";(1.0);"Bacteroidia";(1.0);"Bacteroidales";(1.0);Bacteroidaceae;(1.0);Bacteroides;(1.0);	FJ507188.1.1382	0.0	382	100.0	100.0	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;uncultured bacterium	ERR619083.M00704:57:000000000-A5HJE:1:1101:17819:2697.1	Cluster_4	7837	7837	0
Bacteria;(1.0);"Proteobacteria";(1.0);Betaproteobacteria;(1.0);Neisseriales;(1.0);Neisseriaceae;(1.0);Neisseria;(1.0);	AJ239312.1.1355	0.0	385	100.0	100.0	Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;Neisseria meningitidis	ERR619083.M00704:57:000000000-A5HJE:1:1101:9726:3180.1	Cluster_5	3498	3498	0
Bacteria;(1.0);"Proteobacteria";(1.0);Epsilonproteobacteria;(1.0);Campylobacterales;(1.0);Helicobacteraceae;(1.0);Helicobacter;(1.0);	CP006889.1486541.1488043	0.0	387	100.0	100.0	Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae;Helicobacter;Helicobacter pylori BM012S	ERR619083.M00704:57:000000000-A5HJE:1:1101:16808:2898.1	Cluster_6	2064	2064	0
Bacteria;(1.0);Firmicutes;(1.0);Bacilli;(1.0);Lactobacillales;(1.0);Streptococcaceae;(1.0);Streptococcus;(1.0);	KC503844.1.1504	0.0	385	100.0	100.0	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;uncultured bacterium	ERR619083.M00704:57:000000000-A5HJE:1:1101:17587:4049.1	Cluster_7	2330	2330	0
Bacteria;(1.0);"Deinococcus-Thermus";(1.0);Deinococci;(1.0);Deinococcales;(1.0);Deinococcaceae;(1.0);Deinococcus;(1.0);	AE000513.2285518.2287019	0.0	382	100.0	100.0	Bacteria;Deinococcus-Thermus;Deinococci;Deinococcales;Deinococcaceae;Deinococcus;Deinococcus radiodurans R1	ERR619083.M00704:57:000000000-A5HJE:1:1101:11076:3780.1	Cluster_8	1519	1519	0
Bacteria;(1.0);"Actinobacteria";(1.0);Actinobacteria;(1.0);Actinobacteridae;(1.0);Actinomycetales;(1.0);Propionibacterineae;(1.0);Propionibacteriaceae;(1.0);Propionibacterium;(1.0);	HM812911.1.1346	0.0	387	100.0	100.0	Bacteria;Actinobacteria;Actinobacteria;Propionibacteriales;Propionibacteriaceae;Propionibacterium;uncultured bacterium	ERR619083.M00704:57:000000000-A5HJE:1:1101:17125:4154.1	Cluster_9	1304	1304	0
Bacteria;(1.0);"Proteobacteria";(1.0);Alphaproteobacteria;(1.0);Rhodobacterales;(1.0);Rhodobacteraceae;(1.0);Rhodobacter;(1.0);	D16424.1.1388	0.0	384	100.0	100.0	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rhodobacter;Rhodobacter sphaeroides	ERR619083.M00704:57:000000000-A5HJE:1:1101:16691:8627.1	Cluster_10	1071	1071	0
Bacteria;(1.0);Firmicutes;(1.0);Bacilli;(1.0);Lactobacillales;(1.0);Lactobacillaceae;(1.0);Lactobacillus;(1.0);	JQ084986.1.1533	0.0	386	100.0	100.0	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;uncultured bacterium	ERR619083.M00704:57:000000000-A5HJE:1:1101:13834:5524.1	Cluster_11	1306	1306	0
no_rdp_affiliation;(0.0);	no_blast_subject	1.0	0	0.0	0.0	no_blast_affiliation	ERR619083.M00704:57:000000000-A5HJE:1:1101:19361:8993.1	Cluster_12	938	938	0
no_rdp_affiliation;(0.0);	no_blast_subject	1.0	0	0.0	0.0	no_blast_affiliation	ERR619083.M00704:57:000000000-A5HJE:1:1101:22692:10677.1	Cluster_13	737	737	0
no_rdp_affiliation;(0.0);	no_blast_subject	1.0	0	0.0	0.0	no_blast_affiliation	ERR619083.M00704:57:000000000-A5HJE:1:1101:14865:5961.1	Cluster_14	692	692	0
no_rdp_affiliation;(0.0);	no_blast_subject	1.0	0	0.0	0.0	no_blast_affiliation	ERR619083.M00704:57:000000000-A5HJE:1:1101:19687:6450.1	Cluster_15	432	432	0
no_rdp_affiliation;(0.0);	no_blast_subject	1.0	0	0.0	0.0	no_blast_affiliation	ERR619083.M00704:57:000000000-A5HJE:1:1101:13867:2303.1	Cluster_16	105	105	0
no_rdp_affiliation;(0.0);	no_blast_subject	1.0	0	0.0	0.0	no_blast_affiliation	ERR619083.M00704:57:000000000-A5HJE:1:1101:22102:8029.1	Cluster_17	77	77	0
no_rdp_affiliation;(0.0);	no_blast_subject	1.0	0	0.0	0.0	no_blast_affiliation	ERR619083.M00704:57:000000000-A5HJE:1:1101:25665:8233.1	Cluster_18	62	62	0
no_rdp_affiliation;(0.0);	no_blast_subject	1.0	0	0.0	0.0	no_blast_affiliation	ERR619083.M00704:57:000000000-A5HJE:1:1102:14693:6578.1	Cluster_19	109	109	0
no_rdp_affiliation;(0.0);	no_blast_subject	1.0	0	0.0	0.0	no_blast_affiliation	ERR619083.M00704:57:000000000-A5HJE:1:1101:10312:5888.1	Cluster_20	38	38	0
no_rdp_affiliation;(0.0);	no_blast_subject	1.0	0	0.0	0.0	no_blast_affiliation	ERR619083.M00704:57:000000000-A5HJE:1:1102:21790:3059.1	Cluster_21	51	51	0
