knum	threshold	score_type	profile_type	F-measure	nseq	nseq_used	alen	mlen	eff_nseq	re/pos	definition
K00001	304.07	domain	trim	0.216182	1455	1054	1863	306	11.75	0.590	alcohol dehydrogenase [EC:1.1.1.1]
K00002	383.13	domain	all	0.542329	1216	1177	4304	304	4.22	0.590	alcohol dehydrogenase (NADP+) [EC:1.1.1.2]
K00003	235.63	domain	all	0.959061	4101	3293	2183	361	4.32	0.590	homoserine dehydrogenase [EC:1.1.1.3]
K00004	368.53	domain	trim	0.920831	871	662	702	355	3.02	0.590	(R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.4 1.1.1.- 1.1.1.303]
K00005	343.93	domain	all	0.906992	1429	1012	784	365	2.83	0.590	glycerol dehydrogenase [EC:1.1.1.6]
K00006	285.23	full	all	0.843753	1213	1159	3758	356	3.16	0.590	glycerol-3-phosphate dehydrogenase (NAD+) [EC:1.1.1.8]
K00007	503.73	full	all	0.997602	285	211	823	470	1.00	0.591	D-arabinitol 4-dehydrogenase [EC:1.1.1.11]
K00008	372.77	full	trim	0.554689	2187	1834	2533	343	4.06	0.590	L-iditol 2-dehydrogenase [EC:1.1.1.14]
K00009	182.33	full	all	0.989709	1163	831	1550	388	2.46	0.590	mannitol-1-phosphate 5-dehydrogenase [EC:1.1.1.17]
K00010	234.50	domain	all	0.949447	2164	1727	2233	337	5.05	0.590	myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]
K00011	465.83	domain	trim	0.591954	877	863	5156	319	1.95	0.590	aldehyde reductase [EC:1.1.1.21]
K00012	317.73	full	all	0.927053	5489	4642	4667	428	3.75	0.590	UDPglucose 6-dehydrogenase [EC:1.1.1.22]
K00013	464.53	full	all	0.927354	4361	3594	2699	429	1.98	0.590	histidinol dehydrogenase [EC:1.1.1.23]
K00014	174.97	domain	all	0.851808	6637	5172	3467	261	4.80	0.590	shikimate dehydrogenase [EC:1.1.1.25]
K00015	369.53	domain	trim	0.741923	1270	1142	1581	319	2.77	0.590	glyoxylate reductase [EC:1.1.1.26]
K00016	285.97	full	trim	0.879293	3508	2542	3713	330	3.59	0.590	L-lactate dehydrogenase [EC:1.1.1.27]
K00018	327.33	domain	trim	0.970614	1225	1073	808	320	2.59	0.590	glycerate dehydrogenase [EC:1.1.1.29]
K00019	248.23	domain	all	0.767004	2474	2053	1820	256	4.25	0.590	3-hydroxybutyrate dehydrogenase [EC:1.1.1.30]
K00020	259.33	full	all	0.630932	4896	4140	4050	292	4.96	0.590	3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]
K00021	108.97	domain	all	0.995451	1299	1219	4825	565	3.05	0.590	hydroxymethylglutaryl-CoA reductase (NADPH) [EC:1.1.1.34]
K00022	343.90	domain	trim	0.905293	259	247	999	308	2.84	0.590	3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35]
K00023	322.97	domain	all	0.966780	1508	1142	501	246	1.72	0.590	acetoacetyl-CoA reductase [EC:1.1.1.36]
K00024	311.97	domain	trim	0.848576	3762	2734	1246	313	3.63	0.590	malate dehydrogenase [EC:1.1.1.37]
K00025	501.27	full	trim	0.890852	592	552	1306	333	2.35	0.591	malate dehydrogenase [EC:1.1.1.37]
K00026	447.60	full	all	0.858663	1229	1173	4380	333	2.90	0.590	malate dehydrogenase [EC:1.1.1.37]
K00027	455.23	domain	all	0.740349	3520	2691	2901	471	2.22	0.590	malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38]
K00028	718.97	domain	all	0.868595	309	293	1148	599	1.59	0.591	malate dehydrogenase (decarboxylating) [EC:1.1.1.39]
K00029	286.83	domain	trim	0.549469	4313	3580	5157	558	2.49	0.590	malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]
K00030	394.83	full	all	0.934961	1962	1767	3805	355	2.79	0.590	isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]
K00031	204.57	full	trim	0.802517	5818	4608	3112	387	3.39	0.590	isocitrate dehydrogenase [EC:1.1.1.42]
K00032	497.33	full	all	0.963636	98	83	351	325	0.75	0.591	phosphogluconate 2-dehydrogenase [EC:1.1.1.43]
K00033	133.03	full	all	0.996652	4985	3887	3960	471	2.26	0.590	6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]
K00034	322.00	domain	all	0.869508	729	596	515	260	2.66	0.591	glucose 1-dehydrogenase [EC:1.1.1.47]
K00035	339.00	full	all	0.744832	282	221	452	308	1.31	0.590	D-galactose 1-dehydrogenase [EC:1.1.1.48]
